,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1517,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,22,1998,1.9,0,5,0,0,2.62,0,0,,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
1518,Jean Lucas\Jean-Lucas,br BRA,MF,Brest,fr Ligue 1,22,1998,11.2,0,20,5,25,1.78,0.45,0,0,24.7,5,0,0,1.1,1.1,0.05,-1.1,-1.1
1519,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,de Bundesliga,23,1997,17.8,0,8,2,25,0.45,0.11,0,0,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
1520,Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,es La Liga,25,1995,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1521,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,de Bundesliga,20,2000,5.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1522,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,25,1995,31.6,1,22,5,22.7,0.7,0.16,0.05,0.2,17.9,2,0,0,1.9,1.9,0.09,-0.9,-0.9
1523,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,33,1987,27.1,13,57,26,45.6,2.1,0.96,0.23,0.5,16.2,1,0,1,8.3,7.6,0.13,4.7,5.4
1524,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,30,1990,27,1,4,1,25,0.15,0.04,0.25,1,26.8,0,0,0,0.4,0.4,0.1,0.6,0.6
1525,Florentino Luís\Florentino-Luis,pt POR,MF,Monaco,fr Ligue 1,20,1999,2.7,0,1,0,0,0.37,0,0,,9,0,0,0,0.1,0.1,0.09,-0.1,-0.1
1526,Luisinho\Luisinho,pt POR,DF,Huesca,es La Liga,35,1985,2,0,1,0,0,0.5,0,0,,32.3,0,0,0,0,0,0.02,0,0
1527,Luismi\Luismi,es ESP,MFDF,Elche,es La Liga,28,1992,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1528,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,33,1987,15.5,1,15,2,13.3,0.97,0.13,0.07,0.5,17.5,3,0,0,0.9,0.9,0.06,0.1,0.1
1529,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,22,1998,30.9,0,26,7,26.9,0.84,0.23,0,0,22.4,1,0,0,1.5,1.5,0.06,-1.5,-1.5
1530,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,27,1993,32,24,89,42,47.2,2.78,1.31,0.2,0.43,13.7,1,6,6,22.7,18.1,0.21,1.3,-0.1
1531,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,22,1997,20.6,5,41,18,43.9,1.99,0.87,0.07,0.17,15.1,1,2,2,6.9,5.3,0.13,-1.9,-2.3
1532,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,23,1996,23.4,3,19,7,36.8,0.81,0.3,0.16,0.43,16.4,0,0,0,2,2,0.11,1,1
1533,Senad Lulić\Senad-Lulic,ba BIH,DFMF,Lazio,it Serie A,34,1986,8,0,6,3,50,0.75,0.38,0,0,16.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
1534,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,26,1994,22.6,0,19,4,21.1,0.84,0.18,0,0,23.2,1,0,1,2,1.3,0.07,-2,-1.3
1535,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Crotone,it Serie A,23,1996,20.9,0,5,1,20,0.24,0.05,0,0,18.5,0,0,0,0.7,0.7,0.13,-0.7,-0.7
1536,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,33,1987,30.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1537,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,23,1997,21.8,0,12,3,25,0.55,0.14,0,0,19.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
1538,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,26,1993,26.9,4,28,7,25,1.04,0.26,0.14,0.57,20.3,9,0,0,1.9,1.9,0.07,2.1,2.1
1539,Yann M'Vila\Yann-MVila,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,30,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1540,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,21,1998,12.4,1,26,3,11.5,2.1,0.24,0.04,0.33,21.4,1,0,0,1.1,1.1,0.04,-0.1,-0.1
1541,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,27,1993,22.5,4,46,19,41.3,2.04,0.84,0.09,0.21,21,5,0,1,4.8,4,0.09,-0.8,0
1542,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,de Bundesliga,19,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1543,Luca Mack\Luca-Mack,de GER,MF,Stuttgart,de Bundesliga,20,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1544,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,21,1998,6,1,2,2,100,0.33,0.33,0.5,0.5,27.8,0,0,0,0,0,0.02,1,1
1545,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,eng Premier League,23,1996,23.3,8,74,24,32.4,3.17,1.03,0.11,0.33,23.9,13,0,0,4.4,4.4,0.06,3.6,3.6
1546,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,de Bundesliga,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1547,Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,es La Liga,23,1997,21.8,1,11,5,45.5,0.5,0.23,0.09,0.2,18.4,0,0,0,0.7,0.7,0.06,0.3,0.3
1548,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Crotone,it Serie A,26,1993,24.2,1,9,2,22.2,0.37,0.08,0.11,0.5,7.2,0,0,0,1.1,1.1,0.13,-0.1,-0.1
1549,Christian Maggio\Christian-Maggio,it ITA,DF,Benevento,it Serie A,38,1982,3.3,0,2,0,0,0.61,0,0,,8.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
1550,Giulio Maggiore\Giulio-Maggiore,it ITA,MF,Spezia,it Serie A,22,1998,24.6,3,39,14,35.9,1.59,0.57,0.08,0.21,15.8,0,0,0,5.1,5.1,0.13,-2.1,-2.1
1551,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,35,1984,4.9,0,2,0,0,0.41,0,0,,26.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
1552,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Hellas Verona,it Serie A,24,1995,16.8,0,13,2,15.4,0.77,0.12,0,0,17.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7
1553,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,22,1998,6.7,0,9,1,11.1,1.34,0.15,0,0,26.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3
1554,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,27,1993,33.9,2,36,9,25,1.06,0.27,0.06,0.22,11.1,0,0,0,2.1,2.1,0.06,-0.1,-0.1
1555,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,20,2000,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1556,Hicham Mahou\Hicham-Mahou,fr FRA,DF,Nice,fr Ligue 1,21,1999,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1557,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,29,1991,21.7,9,58,22,37.9,2.68,1.02,0.16,0.41,16.5,3,0,0,5.6,5.6,0.1,3.4,3.4
1558,Arne Maier\Arne-Maier,de GER,MF,Arminia,de Bundesliga,21,1999,11.5,0,11,2,18.2,0.96,0.17,0,0,19.9,2,0,0,0.4,0.4,0.03,-0.4,-0.4
1559,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,21,1999,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1560,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,24,1996,29.9,1,25,6,24,0.84,0.2,0.04,0.17,18,0,0,0,2,2,0.08,-1,-1
1561,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,24,1995,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1562,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,22,1997,5.4,0,2,1,50,0.37,0.18,0,0,20.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
1563,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MF,West Brom,eng Premier League,22,1997,13.7,0,10,3,30,0.73,0.22,0,0,22.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
1564,Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,21,1998,8.9,2,19,9,47.4,2.13,1.01,0.11,0.22,14.5,0,0,0,3.1,3.1,0.16,-1.1,-1.1
1565,Josh Maja\Josh-Maja,ng NGA,FWMF,Fulham,eng Premier League,21,1998,9,3,20,7,35,2.22,0.78,0.1,0.29,14,0,1,1,4.8,4,0.2,-1.8,-2
1566,Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,20,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1567,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FWMF,Strasbourg,fr Ligue 1,28,1991,6.1,1,9,2,22.2,1.47,0.33,0,0,19,0,1,1,1.6,0.9,0.1,-0.6,-0.9
1568,Marco Majouga\Marco-Majouga,fr FRA,FWMF,Nîmes,fr Ligue 1,19,2001,1.2,0,5,1,20,4.29,0.86,0,0,25.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
1569,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MF,Udinese,it Serie A,22,1998,5.8,0,4,0,0,0.69,0,0,,24.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
1570,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,25,1995,30.3,1,16,4,25,0.53,0.13,0.06,0.25,15.8,0,0,0,1.8,1.8,0.12,-0.8,-0.8
1571,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,28,1991,13.4,0,5,1,20,0.37,0.07,0,0,7.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
1572,Adilson Malanda\Adilson-Malanda,fr FRA,MF,Nîmes,fr Ligue 1,18,2001,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1573,Filip Malbašić\Filip-Malbasic,rs SRB,FWMF,Cádiz,es La Liga,27,1992,9.6,0,9,1,11.1,0.94,0.1,0,0,16.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6
1574,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Fiorentina,it Serie A,29,1991,2.3,0,2,0,0,0.87,0,0,,21,0,0,0,0.1,0.1,0.04,-0.1,-0.1
1575,Kévin Malcuit\Kevin-Malcuit,ma MAR,MFFW,Napoli,it Serie A,29,1991,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1576,Daniel Maldini\Daniel-Maldini,it ITA,FWMF,Milan,it Serie A,18,2001,0.3,0,1,1,100,3.1,3.1,0,0,17.1,0,0,0,0.1,0.1,0.15,-0.1,-0.1
1577,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,Atalanta,it Serie A,27,1993,20.8,8,69,23,33.3,3.31,1.1,0.1,0.3,20.6,12,1,1,6.5,5.7,0.08,1.5,1.3
1578,Yunus Mallı\Yunus-Malli,tr TUR,MF,Wolfsburg,de Bundesliga,28,1992,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1579,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,29,1991,28.9,3,20,11,55,0.69,0.38,0.15,0.27,14.3,0,0,0,1.5,1.5,0.08,1.5,1.5
1580,Mickael Malsa\Mickael-Malsa,mq MTQ,MF,Levante,es La Liga,24,1995,26,1,25,7,28,0.96,0.27,0.04,0.14,21.8,0,0,0,1.6,1.6,0.06,-0.6,-0.6
1581,Dennis Man\Dennis-Man,ro ROU,FWMF,Parma,it Serie A,21,1998,7.8,2,19,6,31.6,2.45,0.77,0.11,0.33,15,0,0,0,2.1,2.1,0.11,-0.1,-0.1
1582,Hianga Mananga Mbock\Hianga-Mananga-Mbock,fr FRA,MF,Brest,fr Ligue 1,20,1999,5.1,0,4,1,25,0.79,0.2,0,0,22.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2
1583,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,31,1989,25.7,0,7,3,42.9,0.27,0.12,0,0,25.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
1584,Gianluca Mancini\Gianluca-Mancini,it ITA,DF,Roma,it Serie A,24,1996,31.7,4,29,12,41.4,0.92,0.38,0.14,0.33,12.1,0,0,0,2.5,2.5,0.09,1.5,1.5
1585,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35,1985,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1586,Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,26,1994,24.2,0,4,0,0,0.17,0,0,,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
1587,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,28,1991,26.6,3,9,7,77.8,0.34,0.26,0.33,0.43,7.7,0,0,0,2.3,2.3,0.25,0.7,0.7
1588,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,23,1997,4.4,0,9,4,44.4,2.04,0.9,0,0,22,1,0,0,0.8,0.8,0.09,-0.8,-0.8
1589,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Torino,it Serie A,23,1997,16.9,3,27,8,29.6,1.59,0.47,0.11,0.38,19.8,1,0,0,2.1,2.1,0.08,0.9,0.9
1590,Mario Mandžukić\Mario-Mandzukic,hr CRO,FW,Milan,it Serie A,34,1986,2.4,0,5,3,60,2.12,1.27,0,0,9.2,0,0,0,0.8,0.8,0.17,-0.8,-0.8
1591,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,28,1992,31.2,11,93,35,37.6,2.98,1.12,0.12,0.31,12.8,0,0,0,15.3,15.3,0.17,-4.3,-4.3
1592,Niccolò Manfredini\Niccolo-Manfredini,it ITA,GK,Benevento,it Serie A,32,1988,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1593,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,29,1991,3.6,0,2,0,0,0.56,0,0,,7,0,0,0,0.5,0.5,0.26,-0.5,-0.5
1594,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,de Bundesliga,22,1998,23.4,1,26,8,30.8,1.11,0.34,0.04,0.13,20.7,0,0,0,1.4,1.4,0.05,-0.4,-0.4
1595,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,33,1987,29.9,3,23,5,21.7,0.77,0.17,0,0,25.3,4,3,3,3.3,1,0.05,-0.3,-1
1596,Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,32,1988,9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1597,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,29,1991,25.5,0,8,3,37.5,0.31,0.12,0,0,11.1,0,0,0,0.8,0.8,0.1,-0.8,-0.8
1598,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,26,1994,9.2,0,1,0,0,0.11,0,0,,22.8,0,0,0,0,0,0.02,0,0
1599,Juan Manuel Ramos\Juan-Manuel-Ramos,uy URU,DF,Spezia,it Serie A,23,1996,3.3,0,1,0,0,0.31,0,0,,28.8,0,0,0,0,0,0.03,0,0
1600,Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,21,1999,12,3,19,4,21.1,1.59,0.33,0.16,0.75,16.5,0,0,0,2.8,2.8,0.15,0.2,0.2
1601,Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,22,1998,13,0,27,8,29.6,2.08,0.62,0,0,25.3,5,0,0,0.8,0.8,0.03,-0.8,-0.8
1602,Sekou Mara\Sekou-Mara,fr FRA,FW,Bordeaux,fr Ligue 1,18,2002,2.5,1,4,4,100,1.57,1.57,0.25,0.25,15.5,0,0,0,0.5,0.5,0.12,0.5,0.5
1603,Maranhão\Maranhao,br BRA,FW,Valladolid,es La Liga,23,1996,13.1,4,31,12,38.7,2.37,0.92,0.13,0.33,13.6,0,0,0,3.8,3.8,0.12,0.2,0.2
1604,Fernando Marçal\Fernando-Marcal,br BRA,DF,Wolves,eng Premier League,31,1989,6.9,0,2,0,0,0.29,0,0,,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
1605,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,31,1989,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1606,Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,32,1988,11.7,0,12,0,0,1.03,0,0,,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
1607,Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,33,1987,32.3,3,23,7,30.4,0.71,0.22,0.13,0.43,11.7,1,0,0,1.3,1.3,0.06,1.7,1.7
1608,Solly March\Solly-March,eng ENG,DF,Brighton,eng Premier League,26,1994,18.6,2,22,4,18.2,1.18,0.22,0.09,0.5,17.3,1,0,0,1.7,1.7,0.08,0.3,0.3
1609,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,37,1983,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1610,Riccardo Marchizza\Riccardo-Marchizza,it ITA,DF,Spezia,it Serie A,22,1998,17.3,0,7,0,0,0.4,0,0,,17.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
1611,Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,28,1992,33.5,0,24,5,20.8,0.72,0.15,0,0,12.1,0,0,0,1.6,1.6,0.07,-1.6,-1.6
1612,Iván Marcone\Ivan-Marcone,ar ARG,MF,Elche,es La Liga,30,1990,29.4,0,2,0,0,0.07,0,0,,16.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
1613,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFMF,Athletic Club,es La Liga,31,1989,16.9,1,6,5,83.3,0.36,0.3,0.17,0.2,11.3,0,0,0,1.3,1.3,0.21,-0.3,-0.3
1614,Dario Maresic\Dario-Maresic,at AUT,DF,Reims,fr Ligue 1,20,1999,5.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1615,José Mari\Jose-Mari,es ESP,MF,Cádiz,es La Liga,32,1987,16.1,1,16,3,18.8,0.99,0.19,0,0,26.7,0,1,1,1.2,0.4,0.02,-0.2,-0.4
1616,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,eng Premier League,26,1993,10,0,2,0,0,0.2,0,0,,21.3,0,0,0,0,0,0.02,0,0
1617,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,es La Liga,25,1995,19.6,0,15,5,33.3,0.76,0.25,0,0,11.3,0,0,0,0.9,0.9,0.06,-0.9,-0.9
1618,Mariano\Mariano,do DOM,FW,Real Madrid,es La Liga,26,1993,5.7,1,15,3,20,2.63,0.53,0.07,0.33,16.3,0,0,0,1.5,1.5,0.1,-0.5,-0.5
1619,Jordan Marié\Jordan-Marie,fr FRA,MF,Dijon,fr Ligue 1,28,1991,15.9,0,10,1,10,0.63,0.06,0,0,21.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5
1620,Adrián Marín\Adrian-Marin,es ESP,DFMF,Alavés,es La Liga,23,1997,1,0,1,0,0,0.97,0,0,,21.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
1621,Adrián Marín\Adrian-Marin,es ESP,DFFW,Granada,es La Liga,23,1997,3,0,1,0,0,0.33,0,0,,20,0,0,0,0.1,0.1,0.09,-0.1,-0.1
1622,Răzvan Marin\Razvan-Marin,ro ROU,MF,Cagliari,it Serie A,24,1996,32.9,3,28,10,35.7,0.85,0.3,0.11,0.3,23,1,0,0,1.5,1.5,0.06,1.5,1.5
1623,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Monaco,fr Ligue 1,26,1994,23.2,5,14,6,42.9,0.6,0.26,0.36,0.83,9.5,0,0,0,2.2,2.2,0.16,2.8,2.8
1624,Marlon\Marlon,br BRA,DF,Sassuolo,it Serie A,24,1995,19.4,0,5,2,40,0.26,0.1,0,0,8.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
1625,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,21,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1626,Marquinhos\Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,26,1994,23.6,3,15,8,53.3,0.63,0.34,0.2,0.38,8.3,0,0,0,1.5,1.5,0.1,1.5,1.5
1627,Luca Marrone\Luca-Marrone,it ITA,DF,Crotone,it Serie A,30,1990,17.6,0,4,2,50,0.23,0.11,0,0,7.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
1628,Roger Martí\Roger-Marti,es ESP,FW,Levante,es La Liga,29,1991,24.4,12,43,19,44.2,1.76,0.78,0.23,0.53,14.5,0,2,4,9.3,6.3,0.15,2.7,3.7
1629,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,eng Premier League,24,1995,16.4,4,43,21,48.8,2.61,1.28,0.09,0.19,14.1,0,0,0,6.5,6.5,0.15,-2.5,-2.5
1630,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,de Bundesliga,23,1997,2.9,0,1,0,0,0.34,0,0,,23,0,0,0,0,0,0.04,0,0
1631,Aarón Martín\Aaron-Martin,es ESP,DF,Celta Vigo,es La Liga,23,1997,17.1,0,6,1,16.7,0.35,0.06,0,0,22.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
1632,Álex Martín\Alex-Martin,es ESP,DF,Cádiz,es La Liga,22,1998,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1633,Jonas Martin\Jonas-Martin,fr FRA,MF,Rennes,fr Ligue 1,30,1990,5.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1634,Martinelli\Martinelli,br BRA,FW,Arsenal,eng Premier League,19,2001,6.5,2,20,8,40,3.06,1.22,0.1,0.25,13.1,0,0,0,3.4,3.4,0.17,-1.4,-1.4
1635,Lucas Martínez Quarta\Lucas-Martinez-Quarta,ar ARG,DF,Fiorentina,it Serie A,24,1996,16.5,1,13,5,38.5,0.79,0.3,0.08,0.2,16.9,0,0,0,1.4,1.4,0.11,-0.4,-0.4
1636,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,27,1992,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1637,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,es La Liga,29,1991,28,1,17,7,41.2,0.61,0.25,0.06,0.14,20.3,1,0,0,1.3,1.3,0.08,-0.3,-0.3
1638,Javi Martínez\Javi-Martinez,es ESP,MFFW,Osasuna,es La Liga,20,1999,5.1,1,3,1,33.3,0.59,0.2,0.33,1,14.8,0,0,0,0.6,0.6,0.19,0.4,0.4
1639,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,de Bundesliga,31,1988,5.2,0,2,0,0,0.39,0,0,,9.7,0,0,0,0.3,0.3,0.14,-0.3,-0.3
1640,Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,de Bundesliga,22,1998,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1641,Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,it Serie A,22,1997,28.5,17,108,36,33.3,3.8,1.27,0.14,0.42,14.3,0,2,2,15.5,14,0.13,1.5,1
1642,Pablo Martinez\Pablo-Martinez,fr FRA,DF,Nîmes,fr Ligue 1,31,1989,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1643,Gelson Martins\Gelson-Martins,pt POR,MFFW,Monaco,fr Ligue 1,25,1995,17.2,3,26,11,42.3,1.51,0.64,0.12,0.27,15,0,0,0,2.7,2.7,0.1,0.3,0.3
1644,Adam Marušić\Adam-Marusic,me MNE,DF,Lazio,it Serie A,27,1992,33,2,27,12,44.4,0.82,0.36,0.07,0.17,14.5,0,0,0,2,2,0.08,0,0
1645,Sylvain Marveaux\Sylvain-Marveaux,fr FRA,MFFW,Lorient,fr Ligue 1,34,1986,2.2,0,5,1,20,2.25,0.45,0,0,16.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8
1646,Marvin\Marvin,es ESP,DFFW,Real Madrid,es La Liga,20,2000,1.5,0,1,0,0,0.68,0,0,,15,0,0,0,0.2,0.2,0.16,-0.2,-0.2
1647,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,de Bundesliga,27,1993,19.6,1,10,3,30,0.51,0.15,0.1,0.33,23.9,1,0,0,0.3,0.3,0.03,0.7,0.7
1648,Andrea Masiello\Andrea-Masiello,it ITA,DF,Genoa,it Serie A,34,1986,28.5,0,5,0,0,0.18,0,0,,16.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
1649,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,31,1989,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1650,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,de Bundesliga,19,2000,8.4,0,15,4,26.7,1.78,0.48,0,0,14.8,0,0,0,1.7,1.7,0.11,-1.7,-1.7
1651,Giuseppe Mastinu\Giuseppe-Mastinu,it ITA,FW,Spezia,it Serie A,28,1991,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
1652,Arthur Masuaku\Arthur-Masuaku,cd COD,DFFW,West Ham,eng Premier League,26,1993,11.2,0,6,2,33.3,0.54,0.18,0,0,21.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
1653,Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,es La Liga,31,1988,22.6,5,38,16,42.1,1.68,0.71,0.11,0.25,11.4,0,1,2,6.6,5.1,0.13,-1.6,-1.1
1654,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,eng Premier League,32,1988,5.7,1,4,3,75,0.71,0.53,0,0,20.6,0,1,1,1.1,0.3,0.08,-0.1,-0.3
