,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
155,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,0,1,0,0,0.18,0,0,,27.3,0,0,0,0,0,0.01,0,0
156,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,23.3,1,25,11,44,1.07,0.47,0.04,0.09,16.7,0,0,0,2.4,2.4,0.09,-1.4,-1.4
157,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,0,5,0,0,0.57,0,0,,15.1,2,0,0,0.5,0.5,0.1,-0.5,-0.5
158,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,0,25,6,24,0.66,0.16,0,0,18.6,0,0,0,1.4,1.4,0.06,-1.4,-1.4
159,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,27,1992,1.1,0,2,0,0,1.78,0,0,,13,0,0,0,0.2,0.2,0.08,-0.2,-0.2
160,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,16.1,0,0,0,0.8,0.8,0.07,0.2,0.2
161,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34,1986,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
162,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,5,20,12,60,2.29,1.37,0.25,0.42,15.2,0,0,0,3.5,3.5,0.17,1.5,1.5
163,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,29,0,11,3,27.3,0.38,0.1,0,0,14.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6
164,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,26.8,1,17,4,23.5,0.64,0.15,0.06,0.25,23.7,0,0,0,0.5,0.5,0.03,0.5,0.5
165,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,28,1992,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
166,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19,2001,1.5,0,2,1,50,1.31,0.66,0,0,24,0,0,0,0.1,0.1,0.03,-0.1,-0.1
167,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,20,2000,6,1,11,2,18.2,1.82,0.33,0.09,0.5,14.1,0,0,0,1.5,1.5,0.16,-0.5,-0.5
168,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,1992,18,6,57,23,40.4,3.17,1.28,0.11,0.26,16.7,0,0,1,7.4,6.6,0.12,-1.4,-0.6
169,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,22,1997,23.8,9,60,23,38.3,2.52,0.97,0.15,0.39,20.5,3,0,0,6.9,6.9,0.11,2.1,2.1
170,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,1994,10.2,0,2,0,0,0.2,0,0,,10,0,0,0,0.1,0.1,0.05,-0.1,-0.1
171,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
172,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,25,1994,21.8,2,16,4,25,0.73,0.18,0.13,0.5,16.9,0,0,0,1.1,1.1,0.07,0.9,0.9
173,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20,2000,18.8,0,2,2,100,0.11,0.11,0,0,14,0,0,0,0.2,0.2,0.1,-0.2,-0.2
174,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,22,1998,29.8,6,34,12,35.3,1.14,0.4,0.18,0.5,18.3,0,0,0,3.3,3.3,0.1,2.7,2.7
175,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,22,1998,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
176,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,17,2002,0.6,0,3,2,66.7,4.82,3.21,0,0,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
