,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
160,Federico Ravaglia\Federico-Ravaglia,it ITA,GK,Bologna,it Serie A,20,1999,4,4,360,4,10,2.5,18,9,50,0,1,3,0,0,1,1,0,0,0
161,Pepe Reina\Pepe-Reina,es ESP,GK,Lazio,it Serie A,37,1982,29,29,2610,29,41,1.41,106,74,68.9,18,3,8,9,31,8,8,0,0,0
162,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,es La Liga,25,1995,38,38,3420,38,38,1,100,66,65,17,11,10,14,36.8,5,3,1,1,25
163,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Nîmes,fr Ligue 1,29,1990,38,38,3420,38,71,1.87,192,125,66.1,9,8,21,8,21.1,10,6,3,1,33.3
164,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,26,1993,10,8,810,9,9,1,36,28,75,5,1,2,5,62.5,0,0,0,0,
165,Roberto\Roberto,es ESP,GK,Valladolid,es La Liga,34,1986,13,13,1170,13,17,1.31,43,28,65.1,1,7,5,1,7.7,3,2,0,1,0
166,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,30,1990,18,18,1620,18,25,1.39,56,37,62.5,9,2,7,6,33.3,5,4,1,0,20
167,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,eng Premier League,23,1996,2,2,180,2,5,2.5,8,4,50,0,0,2,0,0,1,1,0,0,0
168,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36,1984,3,3,187,2.1,5,2.41,9,3,44.4,0,2,1,0,0,0,0,0,0,
169,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,33,1986,2,1,91,1,1,0.99,4,3,75,0,0,1,0,0,0,0,0,0,
170,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,es La Liga,28,1992,2,2,180,2,4,2,8,4,50,0,0,2,0,0,0,0,0,0,
171,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,28,1992,11,11,990,11,19,1.73,30,16,50,2,4,5,2,18.2,4,4,0,0,0
172,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,28,1992,3,3,270,3,2,0.67,9,8,88.9,1,1,1,1,33.3,1,1,0,0,0
173,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,27,1992,11,10,945,10.5,24,2.29,64,46,68.8,0,4,6,1,10,4,4,0,0,0
174,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,36,1984,15,15,1350,15,14,0.93,54,40,74.1,9,4,2,5,33.3,0,0,0,0,
175,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,eng Premier League,22,1997,27,27,2430,27,27,1,87,63,71.3,7,10,10,10,37,3,2,0,1,0
176,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,eng Premier League,33,1986,38,38,3420,38,50,1.32,134,87,65.7,20,6,12,11,28.9,4,4,0,0,0
177,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,de Bundesliga,28,1992,26,26,2340,26,39,1.5,103,70,68,6,10,10,8,30.8,6,6,0,0,0
178,Simone Scuffet\Simone-Scuffet,it ITA,GK,Udinese,it Serie A,24,1996,1,1,90,1,2,2,3,2,66.7,0,0,1,0,0,1,1,0,0,0
179,Matz Sels\Matz-Sels,be BEL,GK,Strasbourg,fr Ligue 1,28,1992,6,6,540,6,13,2.17,25,14,56,1,2,3,0,0,2,2,0,0,0
180,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,it Serie A,29,1991,36,36,3240,36,76,2.11,177,103,58.2,3,11,22,5,13.9,2,2,0,0,0
181,Rui Silva\Rui-Silva,pt POR,GK,Granada,es La Liga,26,1994,32,32,2880,32,55,1.72,129,78,61.2,12,6,14,8,25,10,5,4,1,44.4
182,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,29,1991,34,34,3060,34,42,1.24,125,89,71.2,11,9,14,7,20.6,7,6,0,1,0
183,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,es La Liga,23,1997,37,37,3330,37,40,1.08,104,70,66.3,11,13,13,9,24.3,6,5,1,0,16.7
184,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,de Bundesliga,32,1988,4,3,344,3.8,6,1.57,19,12,68.4,1,1,1,1,33.3,0,0,0,0,
