,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
54,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,28,2350,84,76.8,26.1,26,89,,2,25,0,1.82,60,37,23,0.88,0.12,54.5,30.5,24,0.92,0.37
55,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,13,865,67,25.3,9.6,10,74,,3,41,14,1.46,10,8,2,0.21,1.05,8.6,10.1,-1.5,-0.15,0.54
56,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,19,2001,9,146,16,4.3,1.6,0,,,9,16,11,1.56,3,3,0,0,-0.19,3.3,3.7,-0.4,-0.23,-0.28
57,Marley Aké\Marley-Ake,fr FRA,FW,Juventus,it Serie A,19,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
58,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,25,1995,10,797,80,23.3,8.9,9,86,,1,20,7,1.7,16,13,3,0.34,-1.31,15.5,9.3,6.2,0.7,-0.53
59,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,10,378,38,11.1,4.2,4,75,,6,13,21,1.5,6,3,3,0.71,0.8,6.2,4.4,1.9,0.44,0.48
60,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,32,1056,33,30.9,11.7,6,83,,26,22,4,2,18,14,4,0.34,0.26,15.8,13.3,2.4,0.21,-0.16
61,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,16,1184,74,38.7,13.2,14,83,,2,14,2,1.06,20,22,-2,-0.15,-0.15,19.7,23.3,-3.6,-0.27,-0.37
62,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,32,2675,84,87.4,29.7,30,88,,2,23,0,2.25,82,43,39,1.31,-2.43,62.6,38.2,24.5,0.82,-1.6
63,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22,1998,22,1505,68,44,16.7,17,84,,5,17,9,0.77,22,34,-12,-0.72,0.18,18.9,27.6,-8.6,-0.52,0.18
64,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,18,2001,1,73,73,2.1,0.8,1,73,,0,,15,1,2,1,1,1.23,1.82,0.7,0.7,0.1,0.07,0.82
65,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,25,1245,50,40.7,13.8,12,75,,13,27,4,1.56,21,15,6,0.43,0.04,18,15.7,2.2,0.16,-0.07
66,Fabrizio Alastra\Fabrizio-Alastra,it ITA,GK,Parma,it Serie A,22,1997,0,,,,,0,,,0,,2,,,,,,,,,,,
67,David Alba\David-Alba,es ESP,MF,Getafe,es La Liga,21,1999,0,,,,,0,,,0,,3,,,,,,,,,,,
68,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,31,1989,35,3025,86,88.5,33.6,34,88,,1,45,1,2.14,79,34,45,1.34,0.88,69.7,34.7,35,1.04,0.05
69,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,27,1992,34,2618,77,76.5,29.1,33,78,,1,39,0,1.82,46,39,7,0.24,0.35,46.1,35,11.1,0.38,0.27
70,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,35,3115,89,91.1,34.6,35,89,,0,,2,1.4,51,42,9,0.26,-1.81,51.4,38.8,12.6,0.36,-0.17
71,Julian Albrecht\Julian-Albrecht,de GER,MF,Hertha BSC,de Bundesliga,18,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
72,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,31,1746,56,51.1,19.4,17,80,,14,27,7,1.9,36,22,14,0.72,0.51,30.7,25,5.6,0.29,0.14
73,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,26,1993,27,1544,57,45.1,17.2,19,71,,8,24,2,1.44,25,22,3,0.17,-0.45,24.7,19.1,5.6,0.33,-0.1
74,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,31,1989,13,909,70,26.6,10.1,8,87,,5,42,20,0.77,12,25,-13,-1.29,-0.96,9.9,17,-7.1,-0.7,-0.2
75,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,29,1991,24,1854,77,54.2,20.6,20,85,,4,40,1,1.71,34,18,16,0.78,0.2,40.5,23.2,17.3,0.84,0.27
76,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,30,2165,72,63.3,24.1,25,82,,5,22,1,0.9,24,39,-15,-0.62,-0.05,25.6,31.4,-5.9,-0.24,0.39
77,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,17,1299,76,42.5,14.4,14,89,,3,18,12,1.18,17,19,-2,-0.14,0.32,19.2,19,0.2,0.01,0.26
78,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,25,2240,90,65.5,24.9,25,90,,0,,10,1.8,44,25,19,0.76,0.46,34.9,31.1,3.8,0.15,0.06
79,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,22,827,38,24.2,9.2,6,69,,16,26,12,1.36,10,12,-2,-0.22,0.48,10.3,14,-3.7,-0.41,0.19
80,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,22,1998,2,48,24,1.4,0.5,0,,,2,24,14,3,1,0,1,1.87,0.65,0.5,1.9,-1.4,-2.6,-3.69
81,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,22,1998,22,1366,62,39.9,15.2,15,83,,7,18,0,0.95,10,21,-11,-0.72,-0.55,14.7,15.1,-0.4,-0.03,0.29
82,Kyle Alex John\Kyle-Alex-John,eng ENG,DF,Everton,eng Premier League,19,2001,0,,,,,0,,,0,,6,,,,,,,,,,,
83,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,1,16,16,0.5,0.2,0,,,1,16,21,0,0,0,0,0,-0.42,0.1,0.5,-0.4,-2.03,-2.28
84,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,25,1995,0,,,,,0,,,0,,3,,,,,,,,,,,
85,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,36,3031,84,88.6,33.7,34,88,,2,19,0,1.81,60,40,20,0.59,-0.79,65.4,40.5,24.9,0.74,0.2
86,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,2,34,17,1,0.4,0,,,2,17,3,0.5,0,0,0,0,0.05,0.2,0.3,0,-0.07,-0.02
87,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,21,348,17,10.2,3.9,1,65,,20,14,10,0.67,5,8,-3,-0.78,-0.34,4.5,5.5,-1,-0.27,-0.03
88,Marco Alia\Marco-Alia,al ALB,GK,Lazio,it Serie A,20,2000,0,,,,,0,,,0,,31,,,,,,,,,,,
89,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,28,1992,36,2461,68,72,27.3,29,79,,7,22,2,1.64,47,35,12,0.44,0.81,45.7,43.2,2.5,0.09,0.83
90,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,1,15,15,0.4,0.2,0,,,1,15,0,1,0,0,0,0,0.48,0,0,0,0.01,0.25
91,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,2970,90,86.8,33,33,90,,0,,0,1.88,58,32,26,0.79,0.79,63.9,37.9,26,0.79,0.53
92,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,1080,90,31.6,12,12,90,,0,,20,0.67,6,30,-24,-2,-1.08,10.8,24.4,-13.6,-1.13,0.01
93,Allan\Allan,br BRA,MF,Everton,eng Premier League,29,1991,24,2051,85,60,22.8,23,88,,1,33,2,1.54,27,30,-3,-0.13,-0.26,30.5,30.6,-0.2,-0.01,0.25
94,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,15,620,41,18.1,6.9,7,70,,8,16,8,1.33,11,9,2,0.29,-0.38,11.1,10.4,0.7,0.1,-0.04
95,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,34,2429,71,71,27,28,82,,6,20,2,1.18,30,48,-18,-0.67,-0.85,28.6,37.4,-8.8,-0.33,0.06
96,Gael Alonso Moreno\Gael-Alonso-Moreno,es ESP,DF,Celta Vigo,es La Liga,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
97,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,13,960,74,28.1,10.7,11,84,,2,20,9,2.08,15,13,2,0.19,-0.54,17,11.2,5.8,0.54,-0.39
98,Altube\Altube,es ESP,GK,Real Madrid,es La Liga,20,2000,0,,,,,0,,,0,,35,,,,,,,,,,,
