,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
1506,Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,es La Liga,22,1997,27,1666,62,48.7,18.5,18,79,,9,28,0,1.15,26,28,-2,-0.11,0.71,21.6,24.8,-3.2,-0.18,0.39
1507,Corentin Jean\Corentin-Jean,fr FRA,FWMF,Lens,fr Ligue 1,25,1995,23,580,25,17,6.4,6,53,,17,16,11,1.48,10,11,-1,-0.16,-0.22,9.1,8.4,0.7,0.11,-0.14
1508,Daniel Jebbison\Daniel-Jebbison,eng ENG,FW,Sheffield Utd,eng Premier League,17,2003,4,284,71,8.3,3.2,3,86,,1,26,0,1.5,2,2,0,0,1.23,3.2,4,-0.8,-0.24,0.61
1509,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,24,1995,3,152,51,5,1.7,2,68,,1,17,22,1.67,1,0,1,0.59,0.19,1.3,0.6,0.6,0.37,0.17
1510,Jack Jenkins\Jack-Jenkins,eng ENG,MF,Leeds United,eng Premier League,18,2002,0,,,,,0,,,0,,18,,,,,,,,,,,
1511,Teddy Jenks\Teddy-Jenks,eng ENG,MF,Brighton,eng Premier League,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
1512,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,de Bundesliga,22,1997,13,377,29,12.3,4.2,1,53,,12,27,1,0.77,5,6,-1,-0.24,0.33,5.8,7,-1.2,-0.29,0.32
1513,Jesé\Jese,es ESP,FW,Paris S-G,fr Ligue 1,27,1993,2,24,12,0.7,0.3,0,,,2,12,2,1.5,1,0,1,3.75,2.24,0.1,0.1,0,-0.01,-1.2
1514,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,eng Premier League,23,1997,29,2063,71,60.3,22.9,22,86,,7,25,1,2.28,54,17,37,1.61,0.69,46.8,16,30.8,1.34,0.6
1515,Juan Jesus\Juan-Jesus,br BRA,DF,Roma,it Serie A,29,1991,5,157,31,4.6,1.7,0,,,5,31,21,1.6,5,3,2,1.15,0.93,2.7,2.4,0.2,0.14,-0.33
1516,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,eng Premier League,29,1991,10,823,82,24.1,9.1,10,82,,0,,0,1.7,9,10,-1,-0.11,0.41,8.8,10.7,-1.9,-0.21,-0.06
1517,Joaquín\Joaquin,es ESP,FWMF,Betis,es La Liga,39,1981,27,1291,48,37.7,14.3,16,66,,11,21,9,1.7,24,18,6,0.42,0.67,16,19.2,-3.3,-0.23,-0.39
1518,John Joe\John-Joe,ie IRL,MFDF,Getafe,es La Liga,16,2003,6,65,11,1.9,0.7,0,,,6,11,8,0.17,0,0,0,0,0.4,0.4,0.8,-0.5,-0.66,-0.47
1519,Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,eng Premier League,23,1996,31,1983,64,58,22,23,79,,8,21,6,1.16,27,36,-9,-0.41,0.03,23.4,29.4,-5.9,-0.27,0.18
1520,Stefan Johansen\Stefan-Johansen,no NOR,MF,Fulham,eng Premier League,29,1991,0,,,,,0,,,0,,1,,,,,,,,,,,
1521,Marco John\Marco-John,de GER,DF,Hoffenheim,de Bundesliga,18,2002,14,997,71,32.6,11.1,12,79,,2,26,8,1.36,19,19,0,0,0.09,18.6,16.4,2.2,0.2,0.36
1522,Nile John\Nile-John,eng ENG,MF,Tottenham,eng Premier League,17,2003,0,,,,,0,,,0,,1,,,,,,,,,,,
1523,Marcel Johnen\Marcel-Johnen,de GER,GK,Leverkusen,de Bundesliga,17,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
1524,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,eng Premier League,20,2000,14,523,37,15.3,5.8,5,82,,9,12,19,1.79,10,10,0,0,-0.47,7.9,7.6,0.3,0.05,-0.12
1525,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,eng Premier League,27,1993,37,3330,90,97.4,37,37,90,,0,,0,0.62,32,74,-42,-1.14,-2.14,31.5,65.5,-34,-0.92,-0.94
1526,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,eng Premier League,19,2001,24,1179,49,34.5,13.1,13,75,,11,18,12,1.75,23,13,10,0.76,0.12,24.2,15.5,8.7,0.66,-0.08
1527,Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,es La Liga,23,1997,37,3154,85,92.2,35,35,87,,2,63,0,2.14,78,35,43,1.23,-0.13,72.6,36.4,36.3,1.03,0
1528,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,es La Liga,29,1990,34,1268,37,37.1,14.1,14,68,,20,16,4,1.91,18,13,5,0.35,-0.27,17.2,13,4.3,0.3,-0.19
1529,Jony\Jony,es ESP,MFFW,Osasuna,es La Liga,29,1991,22,871,40,25.5,9.7,9,63,,13,23,4,0.91,8,11,-3,-0.31,-0.03,9.6,15,-5.4,-0.56,-0.27
1530,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,es La Liga,26,1994,35,2406,69,70.4,26.7,28,79,,7,29,0,2.11,37,22,15,0.56,0.12,32.8,25,7.8,0.29,-0.43
1531,Filip Jörgensen\Filip-Jorgensen,se SWE,GK,Villarreal,es La Liga,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
1532,Jorginho\Jorginho,it ITA,MF,Chelsea,eng Premier League,28,1991,28,2010,72,58.8,22.3,23,83,,5,22,10,1.96,34,17,17,0.76,0.44,38.7,17.1,21.5,0.96,0.35
1533,Josan\Josan,es ESP,MFDF,Elche,es La Liga,30,1989,33,1926,58,56.3,21.4,24,72,,9,21,3,1,17,28,-11,-0.51,0.09,17.2,36.4,-19.3,-0.9,-0.37
1534,Willian José\Willian-Jose,br BRA,FW,Wolves,eng Premier League,28,1991,17,1110,65,32.5,12.3,12,80,,5,31,2,1.29,12,13,-1,-0.08,0.5,13.2,12.8,0.4,0.03,0.28
1535,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,es La Liga,28,1991,13,689,53,20.1,7.7,8,77,,5,15,4,1.62,12,9,3,0.39,-0.2,13.8,8.5,5.3,0.69,0.08
1536,Joselu\Joselu,es ESP,FW,Alavés,es La Liga,30,1990,37,3026,82,88.5,33.6,34,87,,3,25,0,1.03,32,50,-18,-0.54,0.15,38.2,43.9,-5.6,-0.17,0.49
1537,Josema\Josema,es ESP,DF,Elche,es La Liga,24,1996,29,1966,68,57.5,21.8,21,83,,8,29,8,0.97,19,35,-16,-0.73,-0.42,15.7,35,-19.2,-0.88,-0.33
1538,Jota\Jota,pt POR,FW,Valladolid,es La Liga,21,1999,17,668,39,19.5,7.4,7,64,,10,22,9,1.06,7,13,-6,-0.81,-0.25,,,,,
1539,Jota\Jota,es ESP,MF,Alavés,es La Liga,29,1991,23,1398,61,40.9,15.5,18,75,,5,10,7,1.13,12,18,-6,-0.39,0.28,16.1,19.6,-3.4,-0.22,0
1540,Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,eng Premier League,23,1996,19,1112,59,32.5,12.4,12,82,,7,18,0,2,24,15,9,0.73,0.07,25.5,18.2,7.3,0.59,-0.19
1541,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,eng Premier League,23,1996,0,,,,,0,,,0,,1,,,,,,,,,,,
1542,Vukašin Jovanović\Vukasin-Jovanovic,rs SRB,DF,Bordeaux,fr Ligue 1,24,1996,0,,,,,0,,,0,,7,,,,,,,,,,,
1543,Stevan Jovetić\Stevan-Jovetic,me MNE,FWMF,Monaco,fr Ligue 1,30,1989,29,802,28,23.5,8.9,6,58,,23,20,3,2.28,25,10,15,1.68,1.03,19.4,8.7,10.7,1.2,0.4
1544,Luka Jović\Luka-Jovic,rs SRB,FWMF,Real Madrid,es La Liga,22,1997,4,149,37,4.4,1.7,2,64,,2,11,8,1.5,2,2,0,0,-1.07,4,1.4,2.6,1.59,0.97
1545,Luka Jović\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,de Bundesliga,22,1997,18,894,50,29.2,9.9,8,83,,10,23,1,1.89,26,15,11,1.11,0.9,16.2,13.3,2.9,0.29,0.09
1546,Juanmi\Juanmi,es ESP,FWMF,Betis,es La Liga,27,1993,16,604,38,17.7,6.7,5,66,,11,25,14,1.56,11,14,-3,-0.45,-0.54,11,6.4,4.6,0.69,0.82
1547,David Juncà\David-Junca,es ESP,DF,Celta Vigo,es La Liga,26,1993,0,,,0,0,0,,,0,,19,1,0,0,0,,,,,,,
1548,Andreas Jungdal\Andreas-Jungdal,dk DEN,GK,Milan,it Serie A,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
1549,Hamed Junior Traorè\Hamed-Junior-Traore,ci CIV,FWMF,Sassuolo,it Serie A,20,2000,35,1789,51,52.3,19.9,20,73,,15,22,2,1.57,28,36,-8,-0.4,-1.29,30.1,32.7,-2.6,-0.13,-0.51
1550,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,es La Liga,20,2000,35,1969,56,57.6,21.9,22,75,,13,24,2,2.2,35,17,18,0.82,-0.48,35.7,21.9,13.8,0.63,-0.08
1551,James Justin\James-Justin,eng ENG,DF,Leicester City,eng Premier League,22,1998,23,2070,90,60.5,23,23,90,,0,,0,1.87,39,25,14,0.61,0.34,33.2,26.6,6.6,0.29,0.17
1552,Musa Juwara\Musa-Juwara,gm GAM,DF,Bologna,it Serie A,18,2001,5,46,9,1.3,0.5,0,,,5,9,10,0.6,1,0,1,1.96,2.36,0.9,0.6,0.3,0.59,0.9
1553,Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,es La Liga,27,1993,35,2615,75,76.5,29.1,33,78,,2,21,1,1.23,32,38,-6,-0.21,1.58,26.2,35.8,-9.7,-0.33,0.93
1554,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,eng Premier League,20,2000,9,801,89,23.4,8.9,9,89,,0,,1,1.56,10,9,1,0.11,-0.75,15.4,10.8,4.6,0.51,-0.27
1555,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,de Bundesliga,20,2000,14,1243,89,40.6,13.8,14,89,,0,,1,0.43,11,38,-27,-1.95,-0.27,13.5,31.2,-17.6,-1.28,-0.11
1556,Abdoul Kader Bamba\Abdoul-Kader-Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,26,1994,29,917,32,26.8,10.2,6,76,,23,20,1,0.9,10,21,-11,-1.08,-1.19,12.6,17.9,-5.3,-0.52,-0.44
1557,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DF,Hoffenheim,de Bundesliga,28,1992,20,1588,79,51.9,17.6,17,88,,3,31,0,1.5,30,24,6,0.34,0.83,28,26.6,1.4,0.08,0.26
1558,Tino Kadewere\Tino-Kadewere,zw ZIM,FW,Lyon,fr Ligue 1,24,1996,33,2009,61,58.7,22.3,24,74,,9,26,0,1.94,47,24,23,1.03,0.07,47.2,28.1,19.1,0.85,-0.55
1559,Damian Kądzior\Damian-Kadzior,pl POL,FWMF,Eibar,es La Liga,28,1992,6,195,33,5.7,2.2,2,63,,4,18,10,0.33,1,2,-1,-0.46,0.15,1.3,2.5,-1.1,-0.52,-0.4
1560,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,de Bundesliga,27,1992,8,447,56,14.6,5,6,68,,2,21,0,1.25,6,9,-3,-0.6,0.08,8.4,7.5,0.9,0.18,0.76
1561,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Lens,fr Ligue 1,29,1991,35,2394,68,70,26.6,30,77,,5,18,0,1.43,38,36,2,0.08,0.16,40.4,30.2,10.2,0.38,0.54
1562,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,23,1997,33,2136,65,69.8,23.7,23,81,,10,27,1,1.27,37,36,1,0.04,0.04,29.7,38.3,-8.6,-0.36,-1.2
1563,Arnaud Kalimuendo\Arnaud-Kalimuendo,fr FRA,FW,Paris S-G,fr Ligue 1,18,2002,1,73,73,2.1,0.8,1,73,,0,,3,0,0,1,-1,-1.23,-2.82,0.6,1.3,-0.7,-0.84,-2.07
1564,Arnaud Kalimuendo\Arnaud-Kalimuendo,fr FRA,FW,Lens,fr Ligue 1,18,2002,28,1218,44,35.6,13.5,13,68,,15,22,3,1.29,24,23,1,0.07,0.07,19.1,16.4,2.7,0.2,-0.03
1565,Nikola Kalinić\Nikola-Kalinic,hr CRO,FW,Hellas Verona,it Serie A,32,1988,19,1063,56,31.1,11.8,15,66,,4,20,1,1.05,12,17,-5,-0.42,-0.54,13.1,13.8,-0.6,-0.05,0.18
1566,Yayah Kallon\Yayah-Kallon,sl SLE,MFFW,Genoa,it Serie A,19,2001,1,45,45,1.3,0.5,0,,,1,45,0,3,0,0,0,0,0.29,0.8,1,-0.2,-0.46,-0.01
1567,Felix Kalu Nmecha\Felix-Kalu-Nmecha,eng ENG,MF,Manchester City,eng Premier League,19,2000,0,,,,,0,,,0,,1,,,,,,,,,,,
1568,Samuel Kalu\Samuel-Kalu,ng NGA,FWMF,Bordeaux,fr Ligue 1,22,1997,20,964,48,28.2,10.7,14,62,,6,17,0,1.45,13,9,4,0.37,1.03,9.2,10.9,-1.7,-0.16,0.32
1569,Pierre Kalulu\Pierre-Kalulu,fr FRA,DF,Milan,it Serie A,20,2000,13,727,56,21.3,8.1,7,75,,6,34,23,1.69,14,12,2,0.25,-0.79,12.3,9,3.3,0.4,-0.34
1570,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,23,1996,32,2356,74,77,26.2,28,80,,4,26,1,1.75,51,42,9,0.34,-0.55,41.9,37.9,4,0.15,-0.33
1571,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWMF,Dijon,fr Ligue 1,25,1995,10,557,56,16.3,6.2,7,70,,3,21,0,0.6,5,11,-6,-0.97,0.35,6.3,11.2,-4.9,-0.79,0.43
1572,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWDF,Fulham,eng Premier League,25,1995,11,315,29,9.2,3.5,2,60,,9,22,6,0.27,1,9,-8,-2.29,-1.76,3.3,5.7,-2.4,-0.68,-0.39
1573,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,23,1996,8,720,90,21.1,8,8,90,,0,,14,0.75,9,14,-5,-0.62,-0.49,11.7,11.1,0.5,0.07,-0.11
1574,Boubacar Kamara\Boubacar-Kamara,fr FRA,MF,Marseille,fr Ligue 1,20,1999,35,2894,83,84.6,32.2,35,83,,0,,0,1.71,47,38,9,0.28,0.62,41.1,36.8,4.3,0.13,0.61
1575,Hassane Kamara\Hassane-Kamara,ci CIV,DF,Nice,fr Ligue 1,25,1994,36,2960,82,86.5,32.9,34,85,,2,40,0,1.44,44,41,3,0.09,1.27,39.9,42.8,-2.8,-0.09,0.31
1576,Aaron Kamardin\Aaron-Kamardin,fr FRA,DF,Marseille,fr Ligue 1,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
1577,Marcin Kamiński\Marcin-Kaminski,pl POL,DF,Stuttgart,de Bundesliga,28,1992,5,219,44,7.2,2.4,2,74,,3,24,12,0.8,1,5,-4,-1.64,-1.8,3.4,4.4,-1,-0.42,-0.45
1578,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,de Bundesliga,29,1990,27,1932,72,63.1,21.5,24,78,,3,23,3,2.04,38,15,23,1.07,0.67,43.3,14.3,29,1.35,0.78
1579,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,eng Premier League,27,1993,35,3082,88,90.1,34.2,35,88,,0,,0,1.69,65,39,26,0.76,1.56,51.8,43.2,8.6,0.25,1.19
1580,Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,fr Ligue 1,22,1998,2,132,66,3.9,1.5,2,66,,0,,0,1.5,1,2,-1,-0.68,-0.22,1.7,2.5,-0.9,-0.59,-0.36
1581,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,es La Liga,19,2001,24,1262,53,36.9,14,15,69,,9,25,11,1.54,16,17,-1,-0.07,0.01,13.8,20.3,-6.6,-0.47,-0.31
1582,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,29,1991,30,2146,72,62.7,23.8,24,84,,6,20,2,1.97,35,24,11,0.46,-0.32,37.4,23,14.3,0.6,-0.59
1583,Jimmy Kaparos\Jimmy-Kaparos,de GER,MF,Schalke 04,de Bundesliga,18,2001,1,18,18,0.6,0.2,0,,,1,18,1,0,0,0,0,0,1.8,0.1,0,0.1,0.25,1.47
1584,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,26,1994,0,,,,,0,,,0,,17,,,,,,,,,,,
1585,Maxen Kapo\Maxen-Kapo,fr FRA,MF,Paris S-G,fr Ligue 1,19,2001,0,,,,,0,,,0,,4,,,,,,,,,,,
1586,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,it Serie A,22,1998,24,1294,54,37.8,14.4,16,67,,8,28,2,0.71,18,23,-5,-0.35,1.3,18.3,17.2,1.1,0.08,1.03
1587,Ibrahim Karamoko\Ibrahim-Karamoko,fr FRA,MF,Torino,it Serie A,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
1588,Isaac Karamoko\Isaac-Karamoko,fr FRA,DF,Sassuolo,it Serie A,18,2002,1,1,1,0,0,0,,,1,1,4,0,0,0,0,0,-0.21,0,0,0,0,-0.11
1589,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,de Bundesliga,23,1996,19,1037,55,33.9,11.5,10,88,,9,17,10,1.26,14,17,-3,-0.26,-0.44,14.1,16.6,-2.5,-0.22,-0.32
1590,Michał Karbownik\Michal-Karbownik,pl POL,DF,Brighton,eng Premier League,19,2001,0,,,,,0,,,0,,7,,,,,,,,,,,
1591,Augustus Kargbo\Augustus-Kargbo,sl SLE,FW,Crotone,it Serie A,20,1999,1,32,32,0.9,0.4,0,,,1,32,1,0,0,1,-1,-2.81,-1.59,0.2,0.6,-0.4,-1.11,-0.24
1592,Soudeysse Kari\Soudeysse-Kari,fr FRA,MF,Nice,fr Ligue 1,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
1593,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,de Bundesliga,27,1993,4,292,73,9.5,3.2,3,90,,1,22,26,1.5,2,1,1,0.31,0.11,4.6,2.4,2.2,0.67,0.6
1594,Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Lille,fr Ligue 1,35,1985,0,,,,,0,,,0,,25,,,,,,,,,,,
1595,Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,it Serie A,25,1995,34,2544,75,74.4,28.3,28,86,,6,23,1,1.62,51,39,12,0.42,0.63,48.8,35.4,13.4,0.47,0.05
1596,Redi Kasa\Redi-Kasa,al ALB,MF,Parma,it Serie A,18,2001,0,,,,,0,,,0,,2,,,,,,,,,,,
1597,Lino Kasten\Lino-Kasten,de GER,GK,Wolfsburg,de Bundesliga,19,2001,0,,,,,0,,,0,,5,,,,,,,,,,,
1598,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,de Bundesliga,19,2001,21,1111,53,36.3,12.3,12,80,,9,17,11,0.95,13,17,-4,-0.32,0.55,15.2,19,-3.7,-0.3,0.27
1599,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,37,1983,24,2160,90,63.2,24,24,90,,0,,14,1.29,31,31,0,0,0.64,33.6,28,5.6,0.23,0.2
1600,Moise Kean\Moise-Kean,it ITA,FW,Everton,eng Premier League,20,2000,2,15,8,0.4,0.2,0,,,2,8,1,3,0,0,0,0,0.03,0.1,0,0.1,0.78,0.89
1601,Moise Kean\Moise-Kean,it ITA,FW,Paris S-G,fr Ligue 1,20,2000,26,1698,65,49.6,18.9,22,76,,4,6,4,2.23,37,16,21,1.11,-0.82,36.1,19.2,16.9,0.89,-0.58
1602,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,27,1993,35,2991,85,87.5,33.2,33,89,,2,23,2,1.6,42,43,-1,-0.03,-0.03,42.9,44.1,-1.1,-0.03,0.6
1603,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,eng Premier League,28,1992,5,119,24,3.5,1.3,1,62,,4,14,8,0.2,2,3,-1,-0.76,-0.07,1.3,2,-0.7,-0.51,-0.19
1604,Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,23,1996,24,1616,67,47.3,18,16,85,,8,32,2,2.08,42,14,28,1.56,0.06,37.1,16.3,20.9,1.16,-0.05
1605,Habib Keita\Habib-Keita,ml MLI,MF,Lyon,fr Ligue 1,18,2002,1,6,6,0.2,0.1,0,,,1,6,1,3,0,0,0,0,-1,0.4,0.1,0.3,4.25,3.17
1606,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,eng Premier League,25,1995,10,520,52,15.2,5.8,7,68,,3,15,8,2.4,17,8,9,1.56,1.03,12.1,6.2,5.9,1.03,0.36
1607,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,de Bundesliga,20,2000,12,498,42,16.3,5.5,4,78,,8,24,8,1.25,6,9,-3,-0.54,-0.65,6.3,11.7,-5.4,-0.98,-0.9
1608,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,21,1998,2,180,90,5.3,2,2,90,,0,,13,1.5,4,1,3,1.5,0.86,1.9,1.6,0.3,0.14,-0.6
1609,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,es La Liga,18,2001,1,16,16,0.5,0.2,0,,,1,16,3,0,0,0,0,0,0.56,0,0.2,-0.1,-0.84,-0.62
1610,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,eng Premier League,30,1990,1,2,2,0.1,0,0,,,1,2,24,0,0,0,0,0,0.66,0,0,0,0,0.66
1611,Yann Kembo Diantela\Yann-Kembo-Diantela,fr FRA,MF,Lens,fr Ligue 1,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
1612,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,de Bundesliga,25,1995,32,2727,85,89.1,30.3,32,85,,0,,0,1.38,48,49,-1,-0.03,-0.57,48.3,46.4,1.9,0.06,0.59
1613,Kenedy\Kenedy,br BRA,FWMF,Granada,es La Liga,24,1996,28,1471,53,43,16.3,18,68,,10,25,2,1.25,19,21,-2,-0.12,0.62,16.4,23,-6.6,-0.41,-0.05
1614,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,eng Premier League,23,1997,4,79,20,2.3,0.9,1,76,,3,1,7,2.25,0,1,-1,-1.14,-1.14,0.6,1.7,-1.1,-1.3,-1.22
1615,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,23,1996,37,3226,87,94.3,35.8,36,89,,1,33,0,2.05,70,39,31,0.86,-0.06,67.8,42.5,25.3,0.71,0.65
1616,Kaine Kessler\Kaine-Kessler,eng ENG,FW,Aston Villa,eng Premier League,17,2003,0,,,,,0,,,0,,2,,,,,,,,,,,
1617,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,eng Premier League,19,2001,1,5,5,0.1,0.1,0,,,1,5,1,0,0,0,0,0,0.16,0,0.8,-0.8,-13.68,-14.07
1618,Omar Khailoti\Omar-Khailoti,it ITA,DF,Bologna,it Serie A,18,2001,1,28,28,0.8,0.3,0,,,1,28,11,0,1,1,0,0,0.37,1.2,0.2,0.9,3,3.33
1619,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,FWMF,Marseille,fr Ligue 1,25,1995,17,606,36,17.7,6.7,5,68,,12,22,12,1.47,12,8,4,0.59,0.5,6.3,7.5,-1.3,-0.19,-0.28
1620,Wahbi Khazri\Wahbi-Khazri,tn TUN,FW,Saint-Étienne,fr Ligue 1,29,1991,22,1181,54,34.5,13.1,16,64,,6,26,1,1.27,13,10,3,0.23,0.83,17.5,13.9,3.5,0.27,0.42
1621,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,de Bundesliga,26,1994,27,1818,67,59.4,20.2,23,77,,4,9,5,1.22,22,27,-5,-0.25,0.69,20.2,31.5,-11.3,-0.56,0.03
1622,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,de Bundesliga,33,1987,9,395,44,12.9,4.4,4,64,,5,28,0,0.78,4,4,0,0,0.37,5.9,5,0.9,0.2,0.38
1623,Kike\Kike,es ESP,DF,Cádiz,es La Liga,22,1998,0,,,,,0,,,0,,2,,,,,,,,,,,
1624,Kike\Kike,es ESP,FW,Eibar,es La Liga,30,1989,37,3087,83,90.3,34.3,36,85,,1,29,0,0.73,26,50,-24,-0.7,-0.97,36.8,41.2,-4.4,-0.13,0.1
1625,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,de Bundesliga,20,1999,6,381,64,12.5,4.2,4,90,,2,11,11,0.67,5,9,-4,-0.94,-0.51,6.2,7.6,-1.4,-0.33,-0.25
1626,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,23,1997,18,1310,73,38.3,14.6,14,90,,4,13,19,1.5,11,11,0,0,0.68,14.3,14.3,0,0,0.26
1627,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,de Bundesliga,25,1995,27,2194,81,71.7,24.4,25,86,,2,28,0,2.33,73,27,46,1.89,0.95,59.1,26.9,32.2,1.32,1.06
1628,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,24,1995,28,2303,82,67.3,25.6,26,88,,2,14,3,1.93,53,26,27,1.06,-1.44,49.4,23.9,25.5,1,-0.58
1629,Joshua King\Joshua-King,no NOR,MFFW,Everton,eng Premier League,28,1992,11,148,13,4.3,1.6,0,,,11,13,5,1.27,1,2,-1,-0.61,-0.61,2.1,3.4,-1.3,-0.82,-0.74
1630,Toby King\Toby-King,eng ENG,MF,West Brom,eng Premier League,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
1631,Cédric Kipré\Cedric-Kipre,ci CIV,DF,West Brom,eng Premier League,23,1996,0,,,,,0,,,0,,8,,,,,,,,,,,
1632,Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,24,1996,23,1456,63,42.6,16.2,16,79,,7,28,15,1.78,31,26,5,0.31,0.17,27.6,25.6,2,0.12,0.01
1633,Sofian Kiyine\Sofian-Kiyine,ma MAR,MF,Lazio,it Serie A,22,1997,0,,,,,0,,,0,,2,,,,,,,,,,,
1634,Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,it Serie A,31,1989,28,2393,85,70,26.6,28,85,,0,,3,2,52,29,23,0.87,-0.01,49.8,33.6,16.3,0.61,-0.19
1635,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,27,1993,3,222,74,7.3,2.5,3,74,,0,,0,2,4,3,1,0.41,1.1,2.9,2.6,0.3,0.12,0.67
1636,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,de Bundesliga,27,1992,6,137,23,4.5,1.5,1,90,,5,9,4,2,1,1,0,0,-0.74,1,2,-0.9,-0.6,-0.86
