,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
56,Jokin Ezkieta\Jokin-Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1,2,0,0,0,0,1,0.33,-1,-1.01,1,4,25,17,6,11.8,26.6,7,28.6,34.7,10,0,0,1,1,13.5
57,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,35,1985,35,44,3,0,4,4,44.9,0.32,4.9,0.14,281,662,42.4,731,141,60.9,46.2,271,80.1,57,357,27,7.6,11,0.31,12.4
58,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,20.8,50,3,1,8,2,40.5,0.27,-7.5,-0.36,126,397,31.7,642,116,42.7,37.5,183,67.2,48.6,225,13,5.8,18,0.86,14.5
59,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,22,1998,1.2,3,1,0,1,0,4.2,0.53,1.2,0.99,2,11,18.2,18,3,44.4,40.9,9,33.3,29.9,9,0,0,1,0.84,13.9
60,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,29,1991,29,44,3,1,6,2,38.8,0.31,-3.2,-0.11,124,330,37.6,716,150,38.3,36.2,205,27.3,30,255,18,7.1,27,0.93,14.9
61,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,22,1998,22,32,2,0,7,1,30,0.31,-1,-0.05,136,329,41.3,647,108,40,37.5,171,40.9,39.4,188,11,5.9,15,0.68,16.3
62,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,33,1986,16,21,3,1,3,1,16.9,0.29,-3.1,-0.19,91,260,35,445,70,44.3,38,121,52.1,42.1,167,13,7.8,7,0.44,12.2
63,Marco Festa\Marco-Festa,it ITA,GK,Crotone,it Serie A,28,1992,1,1,0,0,0,0,1.6,0.2,0.6,0.61,9,15,60,28,9,35.7,34.4,10,50,37.7,12,1,8.3,1,1,10.6
64,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,27,1993,3,6,2,0,0,0,7.4,0.39,1.4,0.46,31,64,48.4,98,9,42.9,41.4,27,81.5,65.7,32,1,3.1,1,0.33,12.3
65,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,32,1988,8,11,2,0,1,0,8.8,0.25,-2.2,-0.27,43,153,28.1,210,29,51.4,41,64,70.3,49.6,88,7,8,7,0.88,15.2
