Rk,Player,Nation,Pos,Squad,Comp,Age,Born
101,Nícolas Andrade\Nicolas-Andrade,BRA,GK,Udinese,it Serie A,32,1988
102,Benjamin André\Benjamin-Andre,FRA,MF,Lille,fr Ligue 1,29,1990
103,Robert Andrich\Robert-Andrich,GER,MF,Union Berlin,de Bundesliga,25,1994
104,Victorien Angban\Victorien-Angban,CIV,MF,Metz,fr Ligue 1,23,1996
105,Ángel\Angel,ESP,GK,Granada,es La Liga,18,2002
106,Miguel Ángel Rubio\Miguel-Angel-Rubio,ESP,DF,Valladolid,es La Liga,22,1998
107,José Ángel\Jose-Angel,ESP,DF,Eibar,es La Liga,30,1989
108,Angeliño\Angelino,ESP,DFFW,RB Leipzig,de Bundesliga,23,1997
109,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,ITA,DF,Atalanta,it Serie A,19,2001
110,Philip Ankhrah\Philip-Ankhrah,GHA,MF,Hellas Verona,it Serie A,17,2002
111,Cristian Ansaldi\Cristian-Ansaldi,ARG,DF,Torino,it Serie A,33,1986
112,Waldemar Anton\Waldemar-Anton,GER,DF,Stuttgart,de Bundesliga,24,1996
113,José Antonio Miranda\Jose-Antonio-Miranda,EQG,MFDF,Getafe,es La Liga,22,1998
114,Michail Antonio\Michail-Antonio,ENG,FW,West Ham,eng Premier League,30,1990
115,Valentin Antov\Valentin-Antov,BUL,DF,Bologna,it Serie A,19,2000
116,Houssem Aouar\Houssem-Aouar,FRA,MFFW,Lyon,fr Ligue 1,22,1998
117,Adil Aouchiche\Adil-Aouchiche,FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002
118,Dennis Appiah\Dennis-Appiah,FRA,DF,Nantes,fr Ligue 1,28,1992
119,Aritz Arambarri\Aritz-Arambarri,ESP,DF,Real Sociedad,es La Liga,22,1998
120,Mauro Arambarri\Mauro-Arambarri,URU,MF,Getafe,es La Liga,24,1995
121,Charles Aránguiz\Charles-Aranguiz,CHI,MF,Leverkusen,de Bundesliga,31,1989
122,Luiz Araújo\Luiz-Araujo,BRA,MF,Lille,fr Ligue 1,24,1996
123,Néstor Araujo\Nestor-Araujo,MEX,DF,Celta Vigo,es La Liga,28,1991
124,Ronald Araújo\Ronald-Araujo,URU,DF,Barcelona,es La Liga,21,1999
125,Anaitz Arbilla\Anaitz-Arbilla,ESP,DF,Eibar,es La Liga,33,1987
126,Alphonse Areola\Alphonse-Areola,FRA,GK,Fulham,eng Premier League,27,1993
127,Santiago Arias\Santiago-Arias,COL,DF,Leverkusen,de Bundesliga,28,1992
128,Karim Aribi\Karim-Aribi,ALG,FW,Nîmes,fr Ligue 1,26,1994
