Unnamed: 0,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3
Rk,MP,Starts,Min,90s
1212,1,0,34,0.4
1213,23,18,1726,19.2
1214,15,11,910,10.1
1215,32,25,2373,26.4
1216,2,1,3,0
1217,19,14,1220,13.6
1218,35,29,2409,26.8
1219,8,3,269,3
1220,27,12,1014,11.3
1221,8,8,720,8
1222,17,4,441,4.9
1223,27,18,1666,18.5
1224,23,6,580,6.4
1225,4,3,284,3.2
1226,3,2,152,1.7
1227,13,1,377,4.2
1228,2,0,24,0.3
1229,29,22,2063,22.9
1230,5,0,157,1.7
1231,10,10,823,9.1
1232,27,16,1291,14.3
1233,6,0,65,0.7
1234,31,23,1983,22
1235,14,12,997,11.1
1236,14,5,523,5.8
1237,37,37,3330,37
1238,24,13,1179,13.1
1239,37,35,3154,35
1240,34,14,1268,14.1
1241,22,9,871,9.7
1242,35,28,2406,26.7
1243,28,23,2010,22.3
1244,33,24,1926,21.4
1245,17,12,1110,12.3
1246,13,8,689,7.7
1247,37,34,3026,33.6
1248,29,21,1966,21.8
1249,17,7,668,7.4
1250,23,18,1398,15.5
1251,19,12,1112,12.4
1252,29,6,802,8.9
1253,4,2,149,1.7
1254,18,8,894,9.9
1255,16,5,604,6.7
1256,35,20,1789,19.9
1257,35,22,1969,21.9
1258,23,23,2070,23
1259,5,0,46,0.5
1260,35,33,2615,29.1
1261,9,9,801,8.9
1262,14,14,1243,13.8
1263,29,6,917,10.2
1264,20,17,1588,17.6
1265,33,24,2009,22.3
1266,6,2,195,2.2
1267,8,6,447,5
1268,35,30,2394,26.6
1269,33,23,2136,23.7
1270,1,1,73,0.8
1271,28,13,1218,13.5
1272,19,15,1063,11.8
1273,1,0,45,0.5
1274,20,14,964,10.7
1275,13,7,727,8.1
1276,32,28,2356,26.2
1277,11,2,315,3.5
1278,10,7,557,6.2
1279,8,8,720,8
1280,35,35,2894,32.2
1281,36,34,2960,32.9
1282,5,2,219,2.4
1283,27,24,1932,21.5
1284,35,35,3082,34.2
1285,2,2,132,1.5
1286,24,15,1262,14
1287,30,24,2146,23.8
1288,1,0,18,0.2
1289,24,16,1294,14.4
1290,1,0,1,0
1291,19,10,1037,11.5
1292,1,0,32,0.4
1293,4,3,292,3.2
1294,34,28,2544,28.3
1295,21,12,1111,12.3
1296,24,24,2160,24
1297,2,0,15,0.2
1298,26,22,1698,18.9
1299,35,33,2991,33.2
1300,5,1,119,1.3
1301,24,16,1616,18
1302,1,0,6,0.1
1303,10,7,520,5.8
1304,12,4,498,5.5
1305,2,2,180,2
1306,1,0,16,0.2
1307,1,0,2,0
1308,32,32,2727,30.3
1309,28,18,1471,16.3
1310,4,1,79,0.9
1311,37,36,3226,35.8
1312,1,0,5,0.1
1313,1,0,28,0.3
1314,17,5,606,6.7
1315,22,16,1181,13.1
1316,27,23,1818,20.2
1317,9,4,395,4.4
1318,37,36,3087,34.3
1319,6,4,381,4.2
1320,18,14,1310,14.6
1321,27,25,2194,24.4
1322,28,26,2303,25.6
1323,11,0,148,1.6
1324,23,16,1456,16.2
1325,28,28,2393,26.6
1326,3,3,222,2.5
1327,6,1,137,1.5
1328,4,0,51,0.6
1329,15,9,770,8.6
1330,18,2,421,4.7
1331,35,28,2393,26.6
1332,25,12,1198,13.3
1333,34,32,2709,30.1
1334,23,15,1446,16.1
1335,2,0,19,0.2
1336,19,8,813,9
1337,11,11,990,11
1338,4,0,71,0.8
1339,34,34,3042,33.8
1340,33,33,2970,33
1341,17,13,1132,12.6
1342,3,0,23,0.3
1343,14,4,459,5.1
1344,3,0,44,0.5
1345,17,14,1268,14.1
1346,7,2,260,2.9
1347,2,0,15,0.2
1348,37,34,3021,33.6
1349,4,0,94,1
1350,7,4,390,4.3
1351,1,1,90,1
1352,17,16,1426,15.8
1353,37,35,3029,33.7
1354,24,23,2036,22.6
1355,31,29,2613,29
1356,14,8,695,7.7
1357,27,13,1196,13.3
1358,25,4,611,6.8
1359,5,5,440,4.9
1360,15,12,1042,11.6
1361,33,21,1755,19.5
1362,3,1,73,0.8
1363,1,1,90,1
1364,36,35,3196,35.5
1365,26,25,2218,24.6
1366,30,29,2534,28.2
1367,1,1,90,1
1368,33,9,995,11.1
1369,6,0,118,1.3
1370,26,25,2209,24.5
1371,34,33,2975,33.1
1372,25,21,1964,21.8
1373,36,35,3121,34.7
1374,27,21,1815,20.2
1375,1,0,4,0
1376,16,14,1288,14.3
1377,28,26,2379,26.4
1378,28,23,2033,22.6
1379,6,2,223,2.5
1380,28,24,2117,23.5
1381,11,5,546,6.1
1382,25,5,723,8
1383,22,19,1629,18.1
1384,19,11,884,9.8
1385,13,2,299,3.3
1386,18,8,805,8.9
1387,28,28,2334,25.9
1388,2,0,30,0.3
1389,35,19,1923,21.4
1390,21,14,1363,15.1
1391,11,6,513,5.7
1392,26,12,1270,14.1
1393,34,31,2739,30.4
1394,19,15,1278,14.2
1395,28,6,687,7.6
1396,7,0,108,1.2
1397,18,12,1038,11.5
1398,9,4,341,3.8
1399,38,38,3256,36.2
1400,31,22,1923,21.4
1401,13,6,523,5.8
1402,30,29,2590,28.8
1403,38,38,3420,38
1404,32,30,2631,29.2
1405,3,1,84,0.9
1406,33,31,2768,30.8
1407,21,8,862,9.6
1408,21,21,1834,20.4
1409,30,16,1596,17.7
1410,23,5,717,8
1411,15,1,291,3.2
1412,11,11,886,9.8
1413,20,20,1626,18.1
1414,3,2,239,2.7
1415,17,5,566,6.3
1416,37,29,2563,28.5
1417,16,14,1344,14.9
1418,30,30,2659,29.5
1419,35,34,3132,34.8
1420,35,35,3150,35
1421,17,12,1103,12.3
1422,19,14,1267,14.1
1423,19,19,1625,18.1
1424,22,19,1681,18.7
1425,15,8,728,8.1
1426,29,21,1800,20
1427,29,16,1622,18
1428,14,10,870,9.7
1429,1,0,14,0.2
1430,25,19,1608,17.9
1431,22,13,1240,13.8
1432,32,27,2503,27.8
1433,32,30,2613,29
1434,28,7,816,9.1
1435,36,21,1816,20.2
1436,26,26,2306,25.6
1437,2,1,123,1.4
1438,33,30,2747,30.5
1439,23,13,1227,13.6
1440,7,3,255,2.8
1441,30,22,1924,21.4
1442,37,37,3313,36.8
1443,17,5,506,5.6
1444,28,28,2520,28
1445,32,32,2880,32
1446,29,23,2063,22.9
1447,32,30,2131,23.7
1448,34,34,3015,33.5
1449,18,5,644,7.2
1450,27,19,1366,15.2
1451,28,19,1703,18.9
1452,30,24,1934,21.5
1453,33,29,2475,27.5
1454,35,35,3131,34.8
1455,27,27,2248,25
1456,24,10,935,10.4
1457,28,6,748,8.3
1458,16,13,1159,12.9
