Unnamed: 0,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog
528,620,747,83,12686,3922,198,227,87.2,312,345,90.4,102,157,65,0,0.1,-0.1,2,35,2,0,35
529,619,765,80.9,10392,2074,316,358,88.3,224,269,83.3,59,103,57.3,5,3.1,1.9,34,47,10,1,51
530,1015,1403,72.3,18840,6896,431,490,88,454,583,77.9,122,292,41.8,6,6,0,52,62,49,23,124
531,1304,1698,76.8,22889,9666,666,746,89.3,500,613,81.6,126,278,45.3,3,3.3,-0.3,23,96,39,16,160
532,437,569,76.8,6908,2752,232,258,89.9,164,205,80,30,75,40,1,0.4,0.6,4,20,13,6,25
533,1576,1789,88.1,40606,14307,287,303,94.7,811,847,95.7,469,617,76,0,0.1,-0.1,2,78,1,0,59
534,417,609,68.5,6557,1666,220,274,80.3,134,191,70.2,36,83,43.4,2,1.5,0.5,16,29,12,5,42
535,361,443,81.5,6986,2644,145,164,88.4,162,185,87.6,52,78,66.7,0,0.3,-0.3,4,19,11,1,41
536,624,766,81.5,11157,4088,298,328,90.9,249,293,85,72,119,60.5,3,1.9,1.1,18,32,14,5,43
537,196,268,73.1,2928,562,118,142,83.1,63,86,73.3,9,16,56.3,0,0.7,-0.7,6,11,8,1,16
538,1087,1325,82,24424,8519,269,314,85.7,592,642,92.2,214,348,61.5,0,0,0,1,96,0,0,76
539,35,50,70,1223,1027,7,7,100,8,9,88.9,18,32,56.3,0,0,0,0,0,0,0,0
540,8,14,57.1,83,22,5,7,71.4,0,0,0,1,2,50,0,0,0,0,0,1,1,0
541,18,20,90,161,47,16,16,100,2,3,66.7,0,1,0,0,0,0,0,1,0,0,0
542,680,856,79.4,12068,2221,337,391,86.2,261,322,81.1,75,107,70.1,10,6.6,3.4,43,20,39,16,63
543,1296,1482,87.4,28435,10553,352,381,92.4,671,728,92.2,257,335,76.7,0,0.1,-0.1,4,75,1,0,82
544,79,101,78.2,1147,165,45,56,80.4,26,30,86.7,4,5,80,1,0.2,0.8,5,2,1,0,3
545,1103,1358,81.2,26752,14918,321,323,99.4,432,438,98.6,323,569,56.8,0,0,0,0,11,0,0,2
546,21,25,84,416,151,6,7,85.7,14,16,87.5,1,2,50,0,0.1,-0.1,1,2,1,0,4
547,377,452,83.4,7184,2947,139,152,91.4,184,211,87.2,46,71,64.8,0,0.4,-0.4,7,30,10,4,49
548,1363,1555,87.7,31575,9368,291,312,93.3,784,821,95.5,285,407,70,0,0,0,0,78,3,0,67
