Unnamed: 0,Aerial Duels,Aerial Duels.1,Aerial Duels.2
Rk,Won,Lost,Won%
1264,42,49,46.2
1265,30,40,42.9
1266,0,3,0
1267,3,7,30
1268,23,54,29.9
1269,108,82,56.8
1270,0,0,0
1271,5,23,17.9
1272,18,58,23.7
1273,2,2,50
1274,12,18,40
1275,10,18,35.7
1276,26,35,42.6
1277,8,7,53.3
1278,12,22,35.3
1279,0,0,0
1280,67,39,63.2
1281,45,29,60.8
1282,10,6,62.5
1283,18,22,45
1284,90,129,41.1
1285,1,5,16.7
1286,8,28,22.2
1287,19,31,38
1288,0,0,0
1289,6,20,23.1
1290,0,0,0
1291,31,28,52.5
1292,0,0,0
1293,0,0,0
1294,15,21,41.7
1295,21,29,42
1296,0,0,0
1297,0,0,0
1298,14,23,37.8
1299,125,47,72.7
1300,0,1,0
1301,32,23,58.2
1302,0,0,0
1303,5,8,38.5
1304,18,6,75
1305,0,0,0
1306,0,2,0
1307,0,0,0
1308,102,49,67.5
1309,13,24,35.1
1310,0,0,0
1311,52,49,51.5
1312,0,1,0
1313,0,0,0
1314,3,12,20
1315,2,30,6.3
1316,33,35,48.5
1317,7,4,63.6
1318,172,231,42.7
1319,13,5,72.2
1320,23,23,50
1321,15,17,46.9
1322,41,22,65.1
1323,4,6,40
1324,20,23,46.5
1325,66,40,62.3
1326,2,4,33.3
1327,5,5,50
1328,2,4,33.3
1329,10,16,38.5
1330,4,7,36.4
1331,17,21,44.7
1332,7,8,46.7
1333,222,203,52.2
1334,24,25,49
1335,0,1,0
1336,8,13,38.1
1337,9,12,42.9
1338,1,1,50
1339,90,80,52.9
1340,0,0,0
1341,40,25,61.5
1342,0,1,0
1343,22,29,43.1
1344,0,2,0
1345,30,18,62.5
1346,6,7,46.2
1347,1,1,50
1348,22,26,45.8
1349,0,1,0
1350,13,5,72.2
1351,1,1,50
1352,14,25,35.9
1353,69,150,31.5
1354,54,35,60.7
1355,27,31,46.6
1356,30,10,75
1357,27,52,34.2
1358,7,8,46.7
1359,5,6,45.5
1360,26,16,61.9
1361,16,77,17.2
1362,0,1,0
1363,2,3,40
1364,91,62,59.5
1365,61,37,62.2
1366,20,22,47.6
1367,0,0,0
