Unnamed: 0,Aerial Duels,Aerial Duels.1,Aerial Duels.2
Rk,Won,Lost,Won%
2795,55,38,59.1
2796,27,21,56.3
2797,30,10,75
2798,40,78,33.9
2799,12,35,25.5
2800,12,17,41.4
2801,0,2,0
2802,38,71,34.9
2803,44,20,68.8
2804,32,26,55.2
2805,7,26,21.2
2806,0,1,0
2807,2,5,28.6
2808,16,25,39
2809,0,0,0
2810,4,13,23.5
2811,24,14,63.2
2812,1,12,7.7
2813,2,3,40
2814,3,22,12
2815,0,0,0
2816,4,4,50
2817,97,34,74
2818,52,30,63.4
2819,1,10,9.1
2820,52,28,65
2821,1,14,6.7
2822,2,3,40
2823,24,34,41.4
