Player,Nation,Pos,Squad,Born
Unai Dufur\Unai-Dufur,ESP,DF,Eibar,1999
Haris Duljević\Haris-Duljevic,BIH,MFFW,Nîmes,1993
Paul Dummett\Paul-Dummett,WAL,DF,Newcastle Utd,1991
Alfred Duncan\Alfred-Duncan,GHA,MF,Fiorentina,1993
Alfred Duncan\Alfred-Duncan,GHA,MF,Cagliari,1993
Lewis Dunk\Lewis-Dunk,ENG,DF,Brighton,1991
Jimmy Dunne\Jimmy-Dunne,IRL,DF,Burnley,1997
Erik Durm\Erik-Durm,GER,DF,Eint Frankfurt,1992
Hugo Duro\Hugo-Duro,ESP,FW,Real Madrid,1999
Jean-Kevin Duverne\Jean-Kevin-Duverne,FRA,DF,Brest,1997
Paulo Dybala\Paulo-Dybala,ARG,FW,Juventus,1993
Edin Džeko\Edin-Dzeko,BIH,FW,Roma,1986
Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,FRA,FWMF,Dijon,2000
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,FRA,MF,Genoa,2001
Enzo Ebosse\Enzo-Ebosse,FRA,DF,Angers,1999
Bruno Ecuele Manga\Bruno-Ecuele-Manga,GAB,DF,Dijon,1988
Simone Edera\Simone-Edera,ITA,DFMF,Torino,1997
Ederson\Ederson,BRA,GK,Manchester City,1993
Kyle Edwards\Kyle-Edwards,ENG,MFFW,West Brom,1998
John Egan\John-Egan,IRL,DF,Sheffield Utd,1992
Johannes Eggestein\Johannes-Eggestein,GER,FWMF,Werder Bremen,1998
Maximilian Eggestein\Maximilian-Eggestein,GER,MF,Werder Bremen,1996
Lilian Egloff\Lilian-Egloff,GER,MF,Stuttgart,2002
Kingsley Ehizibue\Kingsley-Ehizibue,NED,DF,Köln,1995
Albin Ekdal\Albin-Ekdal,SWE,MF,Sampdoria,1989
Hugo Ekitike\Hugo-Ekitike,FRA,MFFW,Reims,2002
Anthony Elanga\Anthony-Elanga,SWE,FW,Manchester Utd,2002
Niclas Eliasson\Niclas-Eliasson,SWE,MFFW,Nîmes,1995
Elif Elmas\Elif-Elmas,MKD,MFFW,Napoli,1999
Ahmed Elmohamady\Ahmed-Elmohamady,EGY,DF,Aston Villa,1987
Mohamed Elneny\Mohamed-Elneny,EGY,MF,Arsenal,1992
Aritz Elustondo\Aritz-Elustondo,ESP,DF,Real Sociedad,1994
Nico Elvedi\Nico-Elvedi,SUI,DF,M'Gladbach,1996
Rodrigo Ely\Rodrigo-Ely,BRA,DF,Alavés,1993
Sepe Elye Wahi\Sepe-Elye-Wahi,FRA,FW,Montpellier,2003
Breel Embolo\Breel-Embolo,SUI,FWMF,M'Gladbach,1997
Emerson\Emerson,BRA,DF,Betis,1999
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,ITA,MF,Atalanta,2001
Renaud Emond\Renaud-Emond,BEL,FW,Nantes,1991
Alan Empereur\Alan-Empereur,BRA,DF,Hellas Verona,1994
Youssef En-Nesyri\Youssef-En-Nesyri,MAR,FW,Sevilla,1997
Keita Endo\Keita-Endo,JPN,MFFW,Union Berlin,1997
Wataru Endo\Wataru-Endo,JPN,MF,Stuttgart,1993
Sergi Enrich\Sergi-Enrich,ESP,FW,Eibar,1990
Christian Eriksen\Christian-Eriksen,DEN,MF,Inter,1992
Martin Erlic\Martin-Erlic,CRO,DF,Spezia,1998
Patrick Erras\Patrick-Erras,GER,FWMF,Werder Bremen,1995
Gonzalo Escalante\Gonzalo-Escalante,ARG,MF,Lazio,1993
Aarón Escandell\Aaron-Escandell,ESP,GK,Granada,1995
Dani Escriche\Dani-Escriche,ESP,FWMF,Huesca,1998
Sergio Escudero\Sergio-Escudero,ESP,DF,Sevilla,1989
Alfonso Espino\Alfonso-Espino,URU,DF,Cádiz,1992
Vicente Esquerdo\Vicente-Esquerdo,ESP,MF,Valencia,1999
Nahuel Estévez\Nahuel-Estevez,ARG,MF,Spezia,1995
Pervis Estupiñán\Pervis-Estupinan,ECU,DF,Villarreal,1998
Yoann Etienne\Yoann-Etienne,FRA,DF,Lorient,1997
Xabier Etxeita\Xabier-Etxeita,ESP,DF,Getafe,1987
Jonny Evans\Jonny-Evans,NIR,DF,Leicester City,1988
Edu Expósito\Edu-Exposito,ESP,MF,Eibar,1996
Valentin Eysseric\Valentin-Eysseric,FRA,MFFW,Fiorentina,1992
Eberechi Eze\Eberechi-Eze,ENG,MF,Crystal Palace,1998
Jokin Ezkieta\Jokin-Ezkieta,ESP,GK,Athletic Club,1996
Łukasz Fabiański\Lukasz-Fabianski,POL,GK,West Ham,1985
Fabinho\Fabinho,BRA,DFMF,Liverpool,1993
Fábio\Fabio,BRA,DF,Nantes,1990
Cesc Fàbregas\Cesc-Fabregas,ESP,MF,Monaco,1987
Bandiougou Fadiga\Bandiougou-Fadiga,FRA,FWMF,Paris S-G,2001
Bandiougou Fadiga\Bandiougou-Fadiga,FRA,MF,Brest,2001
Wout Faes\Wout-Faes,BEL,DF,Reims,1998
Nicolò Fagioli\Nicolo-Fagioli,ITA,MF,Juventus,2001
Ralf Fährmann\Ralf-Fahrmann,GER,GK,Schalke 04,1988
Romain Faivre\Romain-Faivre,FRA,MFFW,Brest,1998
Fali\Fali,ESP,DFMF,Cádiz,1993
Iago Falque\Iago-Falque,ESP,MFFW,Benevento,1990
Andri Fannar Baldursson\Andri-Fannar-Baldursson,ISL,MF,Bologna,2002
Paolo Faragò\Paolo-Farago,ITA,DF,Bologna,1993
Paolo Faragò\Paolo-Farago,ITA,DFMF,Cagliari,1993
Davide Faraoni\Davide-Faraoni,ITA,DF,Hellas Verona,1991
Mohamed Fares\Mohamed-Fares,ALG,DF,Lazio,1996
Diego Farias\Diego-Farias,BRA,FW,Spezia,1990
Wuilker Faríñez\Wuilker-Farinez,VEN,GK,Lens,1998
Noah Fatar\Noah-Fatar,FRA,FWMF,Angers,2002
Ansu Fati\Ansu-Fati,ESP,FW,Barcelona,2002
Julien Faussurier\Julien-Faussurier,FRA,DF,Brest,1987
Andrea Favilli\Andrea-Favilli,ITA,FW,Hellas Verona,1997
Federico Fazio\Federico-Fazio,ARG,DF,Roma,1987
Nabil Fekir\Nabil-Fekir,FRA,MFFW,Betis,1993
Felipe\Felipe,BRA,DF,Atlético Madrid,1989
Luiz Felipe\Luiz-Felipe,BRA,DF,Lazio,1997
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,GER,DF,Augsburg,1997
João Félix\Joao-Felix,POR,FWMF,Atlético Madrid,1999
Zinedine Ferhat\Zinedine-Ferhat,ALG,FWMF,Nîmes,1993
Bruno Fernandes\Bruno-Fernandes,POR,MF,Manchester Utd,1994
Edimilson Fernandes\Edimilson-Fernandes,SUI,MFDF,Mainz 05,1996
Aitor Fernández\Aitor-Fernandez,ESP,GK,Levante,1991
Álex Fernández\Alex-Fernandez,ESP,MF,Cádiz,1992
Álvaro Fernández\Alvaro-Fernandez,ESP,GK,Huesca,1998
Andrés Fernández\Andres-Fernandez,ESP,GK,Huesca,1986
Augusto Fernández\Augusto-Fernandez,ARG,MF,Cádiz,1986
Carlos Fernández\Carlos-Fernandez,ESP,FW,Sevilla,1996
Carlos Fernández\Carlos-Fernandez,ESP,FWMF,Real Sociedad,1996
Federico Fernández\Federico-Fernandez,ARG,DF,Newcastle Utd,1989
Joaquín Fernández\Joaquin-Fernandez,ESP,DF,Valladolid,1996
Fernandinho\Fernandinho,BRA,MF,Manchester City,1985
Fernando\Fernando,BRA,MF,Sevilla,1987
Alex Ferrari\Alex-Ferrari,ITA,DF,Sampdoria,1994
David Ferreiro\David-Ferreiro,ESP,MFFW,Huesca,1988
Salvador Ferrer\Salvador-Ferrer,ESP,DF,Spezia,1998
Facundo Ferreyra\Facundo-Ferreyra,ARG,FW,Celta Vigo,1991
Jordan Ferri\Jordan-Ferri,FRA,MF,Montpellier,1992
Marco Festa\Marco-Festa,ITA,GK,Crotone,1992
Fidel\Fidel,ESP,MFDF,Elche,1989
Sam Field\Sam-Field,ENG,MF,West Brom,1998
Alfreð Finnbogason\Alfred-Finnbogason,ISL,FW,Augsburg,1989
Roberto Firmino\Roberto-Firmino,BRA,FW,Liverpool,1991
Junior Firpo\Junior-Firpo,ESP,DF,Barcelona,1996
John Fleck\John-Fleck,SCO,MF,Sheffield Utd,1991
Mark Flekken\Mark-Flekken,NED,GK,Freiburg,1993
Florian Flick\Florian-Flick,GER,MF,Schalke 04,2000
Alexis Flips\Alexis-Flips,FRA,MF,Reims,2000
Alessandro Florenzi\Alessandro-Florenzi,ITA,DF,Paris S-G,1991
Kingsley Fobi\Kingsley-Fobi,GHA,DF,Granada,1998
Phil Foden\Phil-Foden,ENG,FWMF,Manchester City,2000
Mamadou Fofana\Mamadou-Fofana,MLI,MFDF,Metz,1998
Seko Fofana\Seko-Fofana,CIV,MF,Lens,1995
Wesley Fofana\Wesley-Fofana,FRA,DF,Leicester City,2000
Wesley Fofana\Wesley-Fofana,FRA,DF,Saint-Étienne,2000
Youssouf Fofana\Youssouf-Fofana,FRA,MF,Monaco,1999
Thomas Foket\Thomas-Foket,BEL,DF,Reims,1994
Ramón Folch\Ramon-Folch,ESP,MF,Elche,1989
Lamine Fomba\Lamine-Fomba,FRA,MF,Nîmes,1998
Thomas Fontaine\Thomas-Fontaine,MAD,DF,Lorient,1991
José Fontán\Jose-Fontan,ESP,DF,Celta Vigo,2000
José Fonte\Jose-Fonte,POR,DF,Lille,1983
Fernando Forestieri\Fernando-Forestieri,ITA,FWMF,Udinese,1990
Pablo Fornals\Pablo-Fornals,ESP,FWMF,West Ham,1996
Emil Forsberg\Emil-Forsberg,SWE,FWMF,RB Leipzig,1991
Fraser Forster\Fraser-Forster,ENG,GK,Southampton,1988
Philipp Förster\Philipp-Forster,GER,FWMF,Stuttgart,1995
Steven Fortes\Steven-Fortes,CPV,DF,Lens,1992
Yassin Fortune\Yassin-Fortune,FRA,FW,Angers,1999
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,NED,DF,Manchester Utd,1998
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,NED,DF,Leverkusen,1998
Daam Foulon\Daam-Foulon,BEL,DF,Benevento,1999
Dimitri Foulquier\Dimitri-Foulquier,FRA,DF,Granada,1993
Juan Foyth\Juan-Foyth,ARG,DFMF,Villarreal,1998
Gianluca Frabotta\Gianluca-Frabotta,ITA,DF,Juventus,1999
Raphael Framberger\Raphael-Framberger,GER,DF,Augsburg,1995
Tyrese Francois\Tyrese-Francois,AUS,DF,Fulham,2000
Ryan Fraser\Ryan-Fraser,SCO,FWMF,Newcastle Utd,1994
Fred\Fred,BRA,MF,Manchester Utd,1993
Ryan Fredericks\Ryan-Fredericks,ENG,DFFW,West Ham,1992
Remo Freuler\Remo-Freuler,SUI,MF,Atalanta,1992
Marco Friedl\Marco-Friedl,AUT,DF,Werder Bremen,1998
Marvin Friedrich\Marvin-Friedrich,GER,DF,Union Berlin,1995
Jeremie Frimpong\Jeremie-Frimpong,NED,DFFW,Leverkusen,2000
Jorge de Frutos\Jorge-de-Frutos,ESP,MFFW,Levante,1997
Christian Fuchs\Christian-Fuchs,AUT,DF,Leicester City,1986
Angelo Fulgini\Angelo-Fulgini,FRA,MF,Angers,1996
Niclas Füllkrug\Niclas-Fullkrug,GER,FWMF,Werder Bremen,1993
Ramiro Funes Mori\Ramiro-Funes-Mori,ARG,DF,Villarreal,1991
Darnell Furlong\Darnell-Furlong,ENG,DF,West Brom,1995
Daniel Fuzato\Daniel-Fuzato,BRA,GK,Roma,1997
Baptiste Gabard\Baptiste-Gabard,FRA,MF,Saint-Étienne,2000
Matteo Gabbia\Matteo-Gabbia,ITA,DF,Milan,1999
Manolo Gabbiadini\Manolo-Gabbiadini,ITA,FW,Sampdoria,1991
Mijat Gaćinović\Mijat-Gacinovic,SRB,DFMF,Hoffenheim,1995
Roberto Gagliardini\Roberto-Gagliardini,ITA,MF,Inter,1994
Riccardo Gagliolo\Riccardo-Gagliolo,SWE,DF,Parma,1990
Adolfo Gaich\Adolfo-Gaich,ARG,FW,Benevento,1999
Andrey Galabinov\Andrey-Galabinov,BUL,FW,Spezia,1988
Javi Galán\Javi-Galan,ESP,DF,Huesca,1994
Conor Gallagher\Conor-Gallagher,ENG,MF,West Brom,2000
Enric Gallego\Enric-Gallego,ESP,FW,Osasuna,1986
Kévin Gameiro\Kevin-Gameiro,FRA,FW,Valencia,1987
Idrissa Gana Gueye\Idrissa-Gana-Gueye,SEN,MF,Paris S-G,1989
Ignatius Ganago\Ignatius-Ganago,CMR,FW,Lens,1999
Aleix García\Aleix-Garcia,ESP,MF,Eibar,1997
Borja García\Borja-Garcia,ESP,MFFW,Huesca,1990
Dani García\Dani-Garcia,ESP,MF,Athletic Club,1990
David García\David-Garcia,ESP,DF,Osasuna,1994
Eric García\Eric-Garcia,ESP,DF,Manchester City,2001
Manu García\Manu-Garcia,ESP,MF,Alavés,1986
Raúl García\Raul-Garcia,ESP,DFMF,Valladolid,1989
Raúl García\Raul-Garcia,ESP,FWMF,Athletic Club,1986
Rubén García\Ruben-Garcia,ESP,MFFW,Osasuna,1993
Sergi García\Sergi-Garcia,ESP,MF,Alavés,1999
Unai García\Unai-Garcia,ESP,DF,Osasuna,1992
Mario Gaspar\Mario-Gaspar,ESP,DF,Villarreal,1990
Manuel Gasparini\Manuel-Gasparini,ITA,GK,Udinese,2002
Dwight Gayle\Dwight-Gayle,ENG,FWMF,Newcastle Utd,1990
Paulo Gazzaniga\Paulo-Gazzaniga,ARG,GK,Elche,1992
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,CIV,MF,Everton,1995
Yann Gboho\Yann-Gboho,FRA,MFFW,Rennes,2001
David de Gea\David-de-Gea,ESP,GK,Manchester Utd,1990
Christian Gebauer\Christian-Gebauer,AUT,MFFW,Arminia,1993
Theodor Gebre Selassie\Theodor-Gebre-Selassie,CZE,DF,Werder Bremen,1986
Emrehan Gedikli\Emrehan-Gedikli,GER,FW,Leverkusen,2003
Dennis Geiger\Dennis-Geiger,GER,MF,Hoffenheim,1998
Christian Gentner\Christian-Gentner,GER,MF,Union Berlin,1985
Yannick Gerhardt\Yannick-Gerhardt,GER,MFFW,Wolfsburg,1994
Valère Germain\Valere-Germain,FRA,FW,Marseille,1990
Gervinho\Gervinho,CIV,FW,Parma,1987
Willem Geubbels\Willem-Geubbels,FRA,FWMF,Monaco,2001
Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,MAR,FWMF,Stuttgart,1990
Anwar El Ghazi\Anwar-El-Ghazi,NED,FW,Aston Villa,1995
Paolo Ghiglione\Paolo-Ghiglione,ITA,DFMF,Genoa,1997
Faouzi Ghoulam\Faouzi-Ghoulam,ALG,DFFW,Napoli,1991
Kieran Gibbs\Kieran-Gibbs,ENG,DF,West Brom,1989
Morgan Gibbs-White\Morgan-Gibbs-White,ENG,FWMF,Wolves,2000
Niko Gießelmann\Niko-Giesselmann,GER,DF,Union Berlin,1991
Rafał Gikiewicz\Rafal-Gikiewicz,POL,GK,Augsburg,1987
David Gil\David-Gil,ESP,GK,Cádiz,1994
Billy Gilmour\Billy-Gilmour,SCO,MF,Chelsea,2001
Álvaro Giménez\Alvaro-Gimenez,ESP,FWMF,Cádiz,1991
Daniel Ginczek\Daniel-Ginczek,GER,FWMF,Wolfsburg,1991
Matthias Ginter\Matthias-Ginter,GER,DF,M'Gladbach,1994
Andrei Girotto\Andrei-Girotto,BRA,DFMF,Nantes,1992
Olivier Giroud\Olivier-Giroud,FRA,FW,Chelsea,1986
Robert Glatzel\Robert-Glatzel,GER,FW,Mainz 05,1994
Kamil Glik\Kamil-Glik,POL,DF,Benevento,1988
Serge Gnabry\Serge-Gnabry,GER,FWMF,Bayern Munich,1995
Ben Godfrey\Ben-Godfrey,ENG,DF,Everton,1998
Diego Godín\Diego-Godin,URU,DF,Cagliari,1986
Akaki Gogia\Akaki-Gogia,GER,FW,Union Berlin,1992
Amer Gojak\Amer-Gojak,BIH,MFFW,Torino,1997
Edoardo Goldaniga\Edoardo-Goldaniga,ITA,DF,Genoa,1993
Vladimir Golemić\Vladimir-Golemic,SVN,DF,Crotone,1991
Pierluigi Gollini\Pierluigi-Gollini,ITA,GK,Atalanta,1995
Aleksandr Golovin\Aleksandr-Golovin,RUS,MFFW,Monaco,1996
Tomislav Gomelt\Tomislav-Gomelt,CRO,MF,Crotone,1995
André Gomes\Andre-Gomes,POR,MF,Everton,1993
Dani Gómez\Dani-Gomez,ESP,FW,Levante,1998
Ibai Gómez\Ibai-Gomez,ESP,MF,Athletic Club,1989
Joe Gomez\Joe-Gomez,ENG,DF,Liverpool,1997
Maxi Gómez\Maxi-Gomez,URU,FW,Valencia,1996
Moi Gómez\Moi-Gomez,ESP,MFFW,Villarreal,1994
Papu Gómez\Papu-Gomez,ARG,FWMF,Atalanta,1988
Papu Gómez\Papu-Gomez,ARG,MFFW,Sevilla,1988
Sergi Gómez\Sergi-Gomez,ESP,DF,Sevilla,1992
Sergio Gómez\Sergio-Gomez,ESP,MFFW,Huesca,2000
Alfred Gomis\Alfred-Gomis,SEN,GK,Dijon,1993
Alfred Gomis\Alfred-Gomis,SEN,GK,Rennes,1993
Maxime Gonalons\Maxime-Gonalons,FRA,MF,Granada,1989
Vagner Gonçalves\Vagner-Goncalves,CPV,FWMF,Metz,1996
Álvaro González\Alvaro-Gonzalez,ESP,DF,Marseille,1990
Bruno González\Bruno-Gonzalez,ESP,DF,Valladolid,1990
Diego González\Diego-Gonzalez,ESP,DF,Elche,1995
Nicolás González\Nicolas-Gonzalez,ARG,FWDF,Stuttgart,1998
Sergio González\Sergio-Gonzalez,ESP,MF,Cádiz,1997
Urko González\Urko-Gonzalez,ESP,MF,Real Sociedad,2001
Anthony Gordon\Anthony-Gordon,ENG,FWMF,Everton,2001
Leon Goretzka\Leon-Goretzka,GER,MF,Bayern Munich,1995
Andoni Gorosabel\Andoni-Gorosabel,ESP,DF,Real Sociedad,1996
Robin Gosens\Robin-Gosens,GER,DF,Atalanta,1994
Amine Gouiri\Amine-Gouiri,FRA,FWMF,Nice,2000
Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,NED,DF,Augsburg,1991
Jonathan Gradit\Jonathan-Gradit,FRA,DF,Lens,1992
Karlan Grant\Karlan-Grant,ENG,FWMF,West Brom,1997
Alberto Grassi\Alberto-Grassi,ITA,MFDF,Parma,1995
Andrew Gravillon\Andrew-Gravillon,FRA,DF,Lorient,1998
Demarai Gray\Demarai-Gray,ENG,FW,Leicester City,1996
Demarai Gray\Demarai-Gray,ENG,FW,Leverkusen,1996
Adrian Grbić\Adrian-Grbic,AUT,FW,Lorient,1996
Jack Grealish\Jack-Grealish,ENG,FWMF,Aston Villa,1995
Etienne Green\Etienne-Green,FRA,GK,Saint-Étienne,2000
Mason Greenwood\Mason-Greenwood,ENG,FW,Manchester Utd,2001
Michael Gregoritsch\Michael-Gregoritsch,AUT,FWMF,Augsburg,1994
Clément Grenier\Clement-Grenier,FRA,MF,Rennes,1991
Sebastian Griesbeck\Sebastian-Griesbeck,GER,MF,Union Berlin,1990
Antoine Griezmann\Antoine-Griezmann,FRA,FWMF,Barcelona,1991
Vincenzo Grifo\Vincenzo-Grifo,ITA,MFFW,Freiburg,1993
Lennart Grill\Lennart-Grill,GER,GK,Leverkusen,1999
Florian Grillitsch\Florian-Grillitsch,AUT,MFDF,Hoffenheim,1995
Christian Groß\Christian-Gross,GER,MFDF,Werder Bremen,1989
Pascal Groß\Pascal-Gross,GER,MFDF,Brighton,1991
Kamil Grosicki\Kamil-Grosicki,POL,FWMF,West Brom,1988
Ilia Gruev\Ilia-Gruev,BUL,FW,Werder Bremen,2000
Carlos Gruezo\Carlos-Gruezo,ECU,MF,Augsburg,1995
Vicente Guaita\Vicente-Guaita,ESP,GK,Crystal Palace,1987
Andrés Guardado\Andres-Guardado,MEX,MF,Betis,1986
Sergi Guardiola\Sergi-Guardiola,ESP,FW,Valladolid,1991
Nemanja Gudelj\Nemanja-Gudelj,SRB,MFDF,Sevilla,1991
Gonçalo Guedes\Goncalo-Guedes,POR,MFFW,Valencia,1996
Mattéo Guendouzi\Matteo-Guendouzi,FRA,MF,Hertha BSC,1999
Raphaël Guerreiro\Raphael-Guerreiro,POR,DF,Dortmund,1993
Evann Guessand\Evann-Guessand,FRA,FW,Nice,2001
Kelyan Guessoum\Kelyan-Guessoum,FRA,DF,Nîmes,1999
Ander Guevara\Ander-Guevara,ESP,MF,Real Sociedad,1997
Lamine Gueye\Lamine-Gueye,SEN,FWMF,Metz,1998
Pape Gueye\Pape-Gueye,FRA,MF,Marseille,1999
John Guidetti\John-Guidetti,SWE,FWMF,Alavés,1992
Josuha Guilavogui\Josuha-Guilavogui,FRA,MFDF,Wolfsburg,1990
Frederic Guilbert\Frederic-Guilbert,FRA,DF,Strasbourg,1994
Hugo Guillamón\Hugo-Guillamon,ESP,DF,Valencia,2000
Bruno Guimarães\Bruno-Guimaraes,BRA,MF,Lyon,1997
Sehrou Guirassy\Sehrou-Guirassy,FRA,FW,Rennes,1996
Péter Gulácsi\Peter-Gulacsi,HUN,GK,RB Leipzig,1990
Manuel Gulde\Manuel-Gulde,GER,DF,Freiburg,1991
Robert Gumny\Robert-Gumny,POL,DF,Augsburg,1998
İlkay Gündoğan\Ilkay-Gundogan,GER,MF,Manchester City,1990
Christian Günter\Christian-Gunter,GER,DF,Freiburg,1993
Koray Günter\Koray-Gunter,GER,DF,Hellas Verona,1994
Jon Guridi\Jon-Guridi,ESP,MF,Real Sociedad,1995
Malo Gusto\Malo-Gusto,FRA,MF,Lyon,2003
Raúl Guti\Raul-Guti,ESP,MF,Elche,1996
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ARG,DF,Cádiz,1991
Miguel Gutiérrez\Miguel-Gutierrez,ESP,DF,Real Madrid,2001
Emmanuel Gyasi\Emmanuel-Gyasi,GHA,FW,Spezia,1994
Erling Haaland\Erling-Haaland,NOR,FW,Dortmund,2000
Janik Haberer\Janik-Haberer,GER,MFFW,Freiburg,1994
Alexander Hack\Alexander-Hack,GER,DF,Mainz 05,1993
Antwoine Hackford\Antwoine-Hackford,ENG,DFFW,Sheffield Utd,2004
Munir El Haddadi\Munir-El-Haddadi,MAR,FW,Sevilla,1995
André Hahn\Andre-Hahn,GER,FWMF,Augsburg,1990
Amadou Haidara\Amadou-Haidara,MLI,MFDF,RB Leipzig,1998
Massadio Haïdara\Massadio-Haidara,MLI,DF,Lens,1992
Achraf Hakimi\Achraf-Hakimi,MAR,DF,Inter,1998
Sébastien Haller\Sebastien-Haller,CIV,FW,West Ham,1994
Marcel Halstenberg\Marcel-Halstenberg,GER,DF,RB Leipzig,1991
Pierre-Yves Hamel\Pierre-Yves-Hamel,FRA,FW,Lorient,1994
Romain Hamouma\Romain-Hamouma,FRA,FW,Saint-Étienne,1987
Samir Handanović\Samir-Handanovic,SVN,GK,Inter,1984
Lukáš Haraslín\Lukas-Haraslin,SVK,FWMF,Sassuolo,1996
Amine Harit\Amine-Harit,MAR,MFFW,Schalke 04,1997
Rekeem Harper\Rekeem-Harper,ENG,MF,West Brom,2000
Jack Harrison\Jack-Harrison,ENG,MF,Leeds United,1996
Marcel Hartel\Marcel-Hartel,GER,MF,Arminia,1996
Makoto Hasebe\Makoto-Hasebe,JPN,DFMF,Eint Frankfurt,1984
Hans Hateboer\Hans-Hateboer,NED,DF,Atalanta,1994
Kortney Hause\Kortney-Hause,ENG,DF,Aston Villa,1995
Kai Havertz\Kai-Havertz,GER,MFFW,Chelsea,1999
Isaac Hayden\Isaac-Hayden,ENG,MFDF,Newcastle Utd,1995
Eden Hazard\Eden-Hazard,BEL,FWMF,Real Madrid,1991
Thorgan Hazard\Thorgan-Hazard,BEL,FWMF,Dortmund,1993
Jonas Hector\Jonas-Hector,GER,MF,Köln,1990
Michael Hector\Michael-Hector,JAM,DF,Fulham,1992
Hwang Hee-chan\Hwang-Hee-chan,KOR,FWMF,RB Leipzig,1996
Ahmed Hegazi\Ahmed-Hegazi,EGY,DF,West Brom,1991
Dominique Heintz\Dominique-Heintz,GER,DF,Freiburg,1993
Dean Henderson\Dean-Henderson,ENG,GK,Manchester Utd,1997
Jordan Henderson\Jordan-Henderson,ENG,MFDF,Liverpool,1990
Jeff Hendrick\Jeff-Hendrick,IRL,MF,Newcastle Utd,1992
Benjamin Henrichs\Benjamin-Henrichs,GER,DFMF,RB Leipzig,1997
Dalbert Henrique\Dalbert-Henrique,BRA,DF,Rennes,1993
Eduardo Henrique\Eduardo-Henrique,BRA,MF,Crotone,1995
Luis Henrique\Luis-Henrique,BRA,DFFW,Marseille,2001
Christophe Hérelle\Christophe-Herelle,MTQ,DF,Brest,1992
Jérôme Hergault\Jerome-Hergault,FRA,DF,Lorient,1986
Mario Hermoso\Mario-Hermoso,ESP,DF,Atlético Madrid,1995
Aridane Hernández\Aridane-Hernandez,EQG,DF,Osasuna,1989
Lucas Hernández\Lucas-Hernandez,FRA,DF,Bayern Munich,1996
Pablo Hernández\Pablo-Hernandez,ESP,MF,Leeds United,1985
Theo Hernández\Theo-Hernandez,FRA,DF,Milan,1997
Hernani\Hernani,BRA,MF,Parma,1994
Ander Herrera\Ander-Herrera,ESP,MF,Paris S-G,1989
Héctor Herrera\Hector-Herrera,MEX,MF,Atlético Madrid,1990
Sergio Herrera\Sergio-Herrera,ESP,GK,Osasuna,1993
Yangel Herrera\Yangel-Herrera,VEN,MF,Granada,1998
Patrick Herrmann\Patrick-Herrmann,GER,FW,M'Gladbach,1991
Pablo Hervías\Pablo-Hervias,ESP,DFMF,Valladolid,1993
Përparim Hetemaj\Perparim-Hetemaj,FIN,MF,Benevento,1986
Son Heung-min\Son-Heung-min,KOR,FW,Tottenham,1992
Aaron Hickey\Aaron-Hickey,SCO,DF,Bologna,2002
Vitorino Hilton\Vitorino-Hilton,BRA,DF,Montpellier,1977
Martin Hinteregger\Martin-Hinteregger,AUT,DF,Eint Frankfurt,1992
Marwin Hitz\Marwin-Hitz,SUI,GK,Dortmund,1987
Wesley Hoedt\Wesley-Hoedt,NED,DF,Lazio,1994
Ki-Jana Hoever\Ki-Jana-Hoever,NED,DF,Wolves,2002
Nicolas Höfler\Nicolas-Hofler,GER,MF,Freiburg,1990
Jonas Hofmann\Jonas-Hofmann,GER,FWMF,M'Gladbach,1992
Marco Höger\Marco-Hoger,GER,DF,Köln,1989
Rob Holding\Rob-Holding,ENG,DF,Arsenal,1995
Lucas Höler\Lucas-Holer,GER,FWMF,Freiburg,1994
Mason Holgate\Mason-Holgate,ENG,DF,Everton,1996
Jordan Holsgrove\Jordan-Holsgrove,SCO,MF,Celta Vigo,1999
Franck Honorat\Franck-Honorat,FRA,MFFW,Brest,1996
Matthew Hoppe\Matthew-Hoppe,USA,FW,Schalke 04,2001
Jannes Horn\Jannes-Horn,GER,DF,Köln,1997
Timo Horn\Timo-Horn,GER,GK,Köln,1993
Fraser Hornby\Fraser-Hornby,SCO,FW,Reims,1999
Conor Hourihane\Conor-Hourihane,IRL,MF,Aston Villa,1991
Lukáš Hrádecký\Lukas-Hradecky,FIN,GK,Leverkusen,1989
Ajdin Hrustic\Ajdin-Hrustic,AUS,MFFW,Eint Frankfurt,1996
Florian Hübner\Florian-Hubner,GER,DF,Union Berlin,1991
Callum Hudson-Odoi\Callum-Hudson-Odoi,ENG,FWDF,Chelsea,2000
Niall Huggins\Niall-Huggins,WAL,DF,Leeds United,2000
Mats Hummels\Mats-Hummels,GER,DF,Dortmund,1988
Adrien Hunou\Adrien-Hunou,FRA,FWMF,Rennes,1994
Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,NED,FW,Schalke 04,1983
Elseid Hysaj\Elseid-Hysaj,ALB,DF,Napoli,1994
