Player,Nation,Pos,Squad,Born
Stuart Armstrong\Stuart-Armstrong,SCO,MF,Southampton,1992
Maximilian Arnold\Maximilian-Arnold,GER,MF,Wolfsburg,1994
Toluwalas Arokodare\Toluwalas-Arokodare,NGA,FW,Köln,2000
Sergio Arribas\Sergio-Arribas,ESP,FWDF,Real Madrid,2001
Kepa Arrizabalaga\Kepa-Arrizabalaga,ESP,GK,Chelsea,1994
Tolgay Arslan\Tolgay-Arslan,GER,MF,Udinese,1990
Kwadwo Asamoah\Kwadwo-Asamoah,GHA,DFMF,Cagliari,1988
Santiago Ascacíbar\Santiago-Ascacibar,ARG,MF,Hertha BSC,1997
Sergio Asenjo\Sergio-Asenjo,ESP,GK,Villarreal,1989
Marco Asensio\Marco-Asensio,ESP,FWMF,Real Madrid,1996
Kristoffer Askildsen\Kristoffer-Askildsen,NOR,MF,Sampdoria,2001
Iago Aspas\Iago-Aspas,ESP,FW,Celta Vigo,1987
Roger Assalé\Roger-Assale,CIV,FWMF,Dijon,1993
Miguel Atienza\Miguel-Atienza,ESP,MF,Eibar,1999
Youcef Attal\Youcef-Attal,ALG,DFMF,Nice,1996
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,GAB,FW,Arsenal,1989
Emil Audero\Emil-Audero,ITA,GK,Sampdoria,1997
Tommaso Augello\Tommaso-Augello,ITA,DF,Sampdoria,1994
Jean-Kévin Augustin\Jean-Kevin-Augustin,FRA,FW,Nantes,1997
Ludwig Augustinsson\Ludwig-Augustinsson,SWE,DF,Werder Bremen,1994
Serge Aurier\Serge-Aurier,CIV,DF,Tottenham,1992
Charlie Austin\Charlie-Austin,ENG,FW,West Brom,1989
Ezequiel Ávila\Ezequiel-Avila,ARG,MFFW,Osasuna,1994
Taiwo Awoniyi\Taiwo-Awoniyi,NGA,FW,Union Berlin,1997
Mehmet-Can Aydin\Mehmet-Can-Aydin,GER,DF,Schalke 04,2002
Jordan Ayew\Jordan-Ayew,GHA,FWMF,Crystal Palace,1991
Kaan Ayhan\Kaan-Ayhan,TUR,DF,Sassuolo,1994
Luke Ayling\Luke-Ayling,ENG,DF,Leeds United,1991
Ramon Azeez\Ramon-Azeez,NGA,MFDF,Granada,1992
César Azpilicueta\Cesar-Azpilicueta,ESP,DF,Chelsea,1989
Ludovic Baal\Ludovic-Baal,GUF,DF,Brest,1986
Carlos Bacca\Carlos-Bacca,COL,FW,Villarreal,1986
Loïc Bade\Loic-Bade,FRA,DF,Lens,2000
Milan Badelj\Milan-Badelj,CRO,MF,Genoa,1989
Édgar Badía\Edgar-Badia,ESP,GK,Elche,1992
Alex Baena\Alex-Baena,ESP,MF,Villarreal,2001
Miguel Baeza\Miguel-Baeza,ESP,MFFW,Celta Vigo,2000
Stéphane Bahoken\Stephane-Bahoken,CMR,FW,Angers,1992
Leon Bailey\Leon-Bailey,JAM,FWMF,Leverkusen,1997
Eric Bailly\Eric-Bailly,CIV,DF,Manchester Utd,1994
Stefan Bajic\Stefan-Bajic,FRA,GK,Saint-Étienne,2001
Tiemoué Bakayoko\Tiemoue-Bakayoko,FRA,MF,Napoli,1994
Mitchel Bakker\Mitchel-Bakker,NED,DF,Paris S-G,2000
Ridle Baku\Ridle-Baku,GER,FWDF,Wolfsburg,1998
Ridle Baku\Ridle-Baku,GER,DF,Mainz 05,1998
Dilane Bakwa\Dilane-Bakwa,FRA,FWMF,Bordeaux,2002
Fabián Balbuena\Fabian-Balbuena,PAR,DF,West Ham,1991
Keita Baldé\Keita-Balde,SEN,FW,Sampdoria,1995
