Unnamed: 0,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected,Expected.1,Expected.2,Expected.3,Expected.4
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2097,1,4,2,50,2.13,1.07,0.25,0.5,14.3,0,0,0,1,1,0.25,0,0
2098,3,14,5,35.7,1.58,0.56,0.21,0.6,14.8,0,0,0,1.5,1.5,0.11,1.5,1.5
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,0,8,2,25,0.49,0.12,0,0,9.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2102,0,1,0,0,0.2,0,0,0,19,0,0,0,0,0,0.02,0,0
2103,3,30,11,36.7,1.9,0.7,0.1,0.27,16.6,0,0,0,2.9,2.9,0.1,0.1,0.1
2104,0,16,3,18.8,2.3,0.43,0,0,21,2,0,0,1.2,1.2,0.08,-1.2,-1.2
2105,5,41,10,24.4,1.47,0.36,0.12,0.5,16.4,0,0,0,4.3,4.3,0.11,0.7,0.7
2106,0,3,0,0,0.25,0,0,0,29.5,2,0,0,0.1,0.1,0.02,-0.1,-0.1
2107,6,60,25,41.7,3,1.25,0.1,0.24,16.7,0,0,0,5.1,5.1,0.09,0.9,0.9
2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109,6,21,10,47.6,1.54,0.73,0.29,0.6,14.7,0,0,0,3.4,3.4,0.16,2.6,2.6
2110,3,32,14,43.8,1.73,0.76,0.09,0.21,16.6,0,0,0,3.1,3.1,0.1,-0.1,-0.1
2111,3,31,11,35.5,1.47,0.52,0.1,0.27,15.4,0,0,0,2.1,2.1,0.07,0.9,0.9
2112,6,31,15,48.4,3.28,1.59,0.19,0.4,11.6,0,0,0,6.9,6.9,0.22,-0.9,-0.9
2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
