Unnamed: 0,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6
Rk,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1357,5,1,4,1,2,4,0
1358,0,0,0,0,0,4,0
1359,0,0,0,0,0,1,0
1360,1,0,1,0,0,3,0
1361,9,0,9,0,0,2,0
1362,0,0,0,0,0,0,0
1363,0,0,0,0,0,0,0
1364,2,0,2,0,0,3,0
1365,0,2,0,0,0,3,0
1366,4,14,4,0,0,4,0
1367,0,0,0,0,0,0,0
1368,1,1,1,0,0,4,0
1369,0,0,0,0,0,1,1
1370,0,0,0,0,0,10,1
1371,2,1,2,0,0,4,0
1372,1,0,1,0,0,10,0
1373,1,0,1,0,0,4,0
1374,0,1,0,0,0,4,0
1375,0,0,0,0,0,0,0
1376,1,0,1,0,0,4,0
1377,20,5,15,5,5,2,0
1378,0,2,0,0,0,5,0
1379,0,0,0,0,0,0,0
1380,3,10,3,0,0,6,0
1381,0,0,0,0,0,0,0
1382,1,2,1,0,0,3,0
1383,11,5,6,5,6,0,0
1384,0,1,0,0,0,2,0
1385,0,0,0,0,0,2,1
1386,1,1,1,0,0,2,0
1387,7,2,3,4,4,8,0
1388,0,1,0,0,0,0,0
1389,4,3,4,0,0,7,0
1390,1,0,1,0,0,8,0
1391,0,0,0,0,0,1,0
1392,0,0,0,0,0,6,0
1393,4,0,4,0,0,5,0
1394,1,1,1,0,0,4,1
1395,1,2,1,0,0,2,0
1396,0,0,0,0,0,1,0
1397,1,0,1,0,0,4,0
1398,0,0,0,0,0,0,0
1399,16,8,16,0,0,3,0
1400,13,2,10,3,3,3,0
1401,0,0,0,0,0,4,1
1402,1,1,1,0,0,5,0
1403,0,0,0,0,0,2,0
1404,0,1,0,0,0,5,1
1405,0,0,0,0,0,0,0
1406,2,2,2,0,0,2,0
1407,0,2,0,0,0,5,0
1408,3,2,0,3,3,1,0
1409,1,1,1,0,0,0,0
1410,1,0,1,0,0,6,1
1411,2,0,2,0,0,0,0
1412,1,1,1,0,0,4,1
1413,1,0,1,0,0,2,1
1414,0,0,0,0,0,0,0
1415,1,1,1,0,0,1,0
1416,8,2,8,0,1,2,0
1417,0,0,0,0,0,1,0
1418,0,0,0,0,0,8,1
1419,0,1,0,0,0,8,0
1420,0,0,0,0,0,2,0
1421,2,1,2,0,0,1,0
1422,2,0,2,0,0,0,0
1423,2,0,2,0,0,4,0
1424,0,0,0,0,0,4,1
1425,1,0,1,0,0,3,0
1426,0,2,0,0,0,8,0
1427,3,5,3,0,0,4,0
1428,0,0,0,0,0,1,0
1429,0,0,0,0,0,0,0
1430,0,0,0,0,0,4,0
1431,2,0,2,0,0,3,0
1432,3,6,3,0,0,3,0
1433,2,5,2,0,0,2,1
1434,1,2,1,0,0,0,0
1435,0,5,0,0,0,6,0
1436,0,0,0,0,0,0,0
1437,0,0,0,0,0,2,0
1438,0,1,0,0,0,5,1
1439,0,0,0,0,0,3,1
1440,0,0,0,0,0,0,0
1441,6,6,6,0,0,5,0
1442,0,0,0,0,0,2,0
1443,0,1,0,0,0,0,0
1444,0,0,0,0,0,1,0
1445,0,0,0,0,0,0,0
1446,4,2,3,1,1,3,1
1447,0,0,0,0,0,10,0
1448,1,1,1,0,0,10,0
1449,0,0,0,0,0,1,0
1450,1,3,1,0,0,4,0
1451,1,0,1,0,0,5,0
1452,1,0,1,0,0,8,0
1453,1,0,1,0,0,11,2
1454,0,0,0,0,0,0,1
1455,0,3,0,0,0,3,0
1456,1,2,1,0,0,2,0
1457,2,0,2,0,0,0,0
1458,0,1,0,0,0,0,0
1459,0,0,0,0,0,1,0
1460,0,0,0,0,0,0,0
1461,0,0,0,0,0,0,0
1462,3,1,3,0,0,2,0
1463,41,7,33,8,9,4,0
1464,0,1,0,0,0,4,0
1465,4,0,2,2,3,4,0
1466,0,0,0,0,0,0,0
1467,2,4,1,1,2,2,0
1468,4,0,4,0,0,4,0
1469,1,1,1,0,0,4,0
1470,0,1,0,0,0,0,0
1471,0,0,0,0,0,0,0
1472,1,1,1,0,0,0,0
1473,1,0,1,0,0,5,0
1474,9,4,8,1,2,3,0
1475,0,1,0,0,0,3,0
1476,2,2,2,0,0,3,0
1477,0,0,0,0,0,2,1
1478,1,0,1,0,0,1,0
1479,0,0,0,0,0,0,0
1480,1,0,1,0,0,2,0
1481,0,0,0,0,0,0,0
1482,12,11,12,0,0,6,0
1483,0,0,0,0,0,0,0
1484,1,1,1,0,0,5,0
1485,0,0,0,0,0,2,0
1486,4,2,2,2,2,9,0
1487,1,2,1,0,0,3,0
1488,0,0,0,0,0,0,0
1489,1,0,1,0,0,3,0
1490,0,0,0,0,0,0,0
1491,0,0,0,0,0,2,0
1492,0,0,0,0,0,0,0
1493,0,0,0,0,0,0,0
1494,0,1,0,0,0,2,0
1495,4,4,4,0,1,5,0
1496,0,0,0,0,0,2,0
1497,3,1,3,0,0,1,0
1498,0,1,0,0,0,2,0
1499,1,1,1,0,0,0,0
1500,0,0,0,0,0,1,1
1501,2,0,2,0,0,7,0
1502,0,0,0,0,0,1,0
1503,0,0,0,0,0,0,0
1504,3,0,3,0,0,0,0
1505,3,0,3,0,0,7,0
1506,0,0,0,0,0,0,0
1507,1,0,1,0,0,7,1
1508,0,0,0,0,0,0,0
1509,7,2,2,5,5,4,1
1510,0,0,0,0,0,5,0
1511,0,0,0,0,0,1,0
1512,0,0,0,0,0,0,0
1513,1,1,1,0,0,5,0
1514,3,1,3,0,0,5,0
1515,11,3,11,0,0,6,0
1516,0,0,0,0,0,0,0
1517,0,0,0,0,0,1,0
1518,0,2,0,0,0,4,1
1519,0,0,0,0,0,5,0
1520,0,0,0,0,0,0,0
1521,0,0,0,0,0,1,0
1522,1,7,1,0,0,6,0
1523,13,3,13,0,1,3,0
1524,1,2,1,0,0,3,0
1525,0,0,0,0,0,1,0
1526,0,0,0,0,0,1,0
1527,0,0,0,0,0,0,0
1528,1,0,1,0,0,1,1
1529,0,2,0,0,0,10,1
1530,24,11,18,6,6,4,0
1531,5,5,3,2,2,4,1
1532,3,0,3,0,0,4,0
1533,0,0,0,0,0,1,0
1534,0,2,0,0,1,8,1
1535,0,0,0,0,0,5,1
1536,0,0,0,0,0,1,0
1537,0,0,0,0,0,8,0
1538,4,2,4,0,0,10,2
1539,0,0,0,0,0,0,0
1540,1,1,1,0,0,1,0
1541,4,5,4,0,1,1,0
1542,0,0,0,0,0,0,0
1543,0,0,0,0,0,0,0
1544,1,1,1,0,0,2,0
1545,8,5,8,0,0,4,0
1546,0,0,0,0,0,0,0
1547,1,4,1,0,0,4,0
1548,1,2,1,0,0,10,0
1549,0,0,0,0,0,2,0
1550,3,1,3,0,0,3,0
1551,0,0,0,0,0,2,0
1552,0,0,0,0,0,8,0
1553,0,0,0,0,0,4,0
1554,2,1,2,0,0,11,0
1555,0,0,0,0,0,0,0
1556,0,0,0,0,0,1,0
1557,9,6,9,0,0,0,0
1558,0,0,0,0,0,0,0
1559,0,0,0,0,0,0,0
1560,1,3,1,0,0,9,0
1561,0,0,0,0,0,1,0
1562,0,0,0,0,0,0,0
1563,0,0,0,0,0,2,0
1564,3,0,2,1,1,0,0
1565,2,0,2,0,0,2,0
1566,0,0,0,0,0,0,0
1567,1,0,0,1,1,0,0
1568,0,0,0,0,0,0,0
1569,0,0,0,0,0,1,0
1570,1,0,1,0,0,5,0
1571,0,0,0,0,0,1,0
1572,0,0,0,0,0,0,0
1573,0,1,0,0,0,2,0
1574,0,0,0,0,0,0,0
1575,0,0,0,0,0,0,0
1576,0,0,0,0,0,0,0
1577,8,12,7,1,1,3,0
1578,0,0,0,0,0,0,0
1579,3,1,3,0,0,8,0
1580,1,0,1,0,0,5,0
1581,2,1,2,0,0,1,0
1582,0,0,0,0,0,1,0
1583,0,0,0,0,0,4,0
1584,4,2,4,0,0,10,0
1585,0,0,0,0,0,1,0
1586,0,0,0,0,0,2,1
1587,3,1,3,0,0,6,2
1588,0,0,0,0,0,0,0
1589,3,1,3,0,0,5,1
1590,0,0,0,0,0,1,0
1591,11,7,11,0,0,3,0
1592,0,0,0,0,0,0,0
1593,0,0,0,0,0,1,0
1594,1,3,1,0,0,4,0
1595,3,3,0,3,3,3,0
1596,0,0,0,0,0,0,0
1597,0,0,0,0,0,5,0
1598,0,0,0,0,0,1,0
1599,0,0,0,0,0,1,0
1600,3,1,3,0,0,2,0
1601,0,1,0,0,0,4,0
1602,1,2,1,0,0,0,0
1603,4,1,4,0,0,3,0
1604,0,0,0,0,0,2,0
1605,0,0,0,0,0,0,0
1606,0,2,0,0,0,3,0
1607,3,0,3,0,0,7,2
1608,2,1,2,0,0,0,0
1609,0,0,0,0,0,0,0
1610,0,2,0,0,0,4,0
1611,0,4,0,0,0,7,0
1612,0,0,0,0,0,10,1
1613,1,2,1,0,0,2,0
1614,0,0,0,0,0,0,0
1615,1,0,0,1,1,5,0
1616,0,0,0,0,0,2,0
1617,0,0,0,0,0,5,0
1618,1,0,1,0,0,0,0
1619,0,0,0,0,0,2,0
1620,0,0,0,0,0,0,0
1621,0,1,0,0,0,1,0
1622,3,6,3,0,0,6,0
1623,5,1,5,0,0,7,0
1624,0,0,0,0,0,6,1
1625,0,0,0,0,0,0,0
1626,3,1,3,0,0,2,0
1627,0,0,0,0,0,8,0
1628,12,4,10,2,4,4,0
1629,4,3,4,0,0,0,1
1630,0,3,0,0,0,1,0
1631,0,0,0,0,0,0,0
1632,0,0,0,0,0,0,0
1633,0,0,0,0,0,3,0
1634,2,1,2,0,0,0,0
1635,1,0,1,0,0,4,1
1636,0,0,0,0,0,1,0
1637,1,0,1,0,0,9,1
1638,1,1,1,0,0,1,0
1639,0,0,0,0,0,0,0
1640,0,0,0,0,0,0,0
1641,17,6,15,2,2,5,0
1642,0,1,0,0,0,1,0
1643,3,2,3,0,0,3,0
1644,2,3,2,0,0,3,0
1645,0,0,0,0,0,0,0
1646,0,1,0,0,0,0,0
1647,1,1,1,0,0,6,0
1648,0,0,0,0,0,6,0
1649,0,0,0,0,0,3,0
1650,0,0,0,0,0,2,0
1651,0,0,0,0,0,0,0
1652,0,2,0,0,0,2,0
1653,5,0,4,1,2,9,1
1654,1,2,0,1,1,0,0
1655,3,0,3,0,0,5,0
1656,1,1,1,0,0,0,1
1657,1,0,1,0,0,0,0
1658,7,1,6,1,1,2,0
1659,0,0,0,0,0,2,0
1660,1,2,1,0,0,2,0
1661,0,0,0,0,0,0,0
1662,0,0,0,0,0,0,0
1663,0,0,0,0,0,0,0
1664,0,0,0,0,0,2,0
1665,0,0,0,0,0,0,0
1666,8,2,5,3,4,1,1
1667,0,4,0,0,0,3,0
1668,9,0,9,0,1,3,0
1669,0,0,0,0,0,5,0
1670,3,0,3,0,0,2,0
1671,10,3,10,0,0,1,0
1672,0,0,0,0,0,0,0
1673,0,0,0,0,0,1,0
1674,0,0,0,0,0,1,0
1675,0,1,0,0,0,7,0
1676,27,7,21,6,6,5,0
1677,1,0,1,0,0,2,0
1678,0,1,0,0,0,7,0
1679,4,1,4,0,0,3,0
1680,0,2,0,0,0,3,0
1681,1,0,1,0,0,2,0
1682,0,0,0,0,0,2,0
1683,0,0,0,0,0,1,0
1684,3,5,3,0,0,12,0
1685,8,1,8,0,0,7,0
1686,5,2,5,0,0,5,0
1687,2,5,2,0,0,1,0
1688,4,1,4,0,0,3,0
1689,0,1,0,0,0,1,0
1690,2,0,2,0,0,11,0
1691,0,1,0,0,0,5,1
1692,2,0,2,0,0,3,0
1693,0,0,0,0,0,0,0
1694,0,2,0,0,0,0,0
1695,1,1,1,0,0,0,0
1696,0,0,0,0,0,2,0
1697,0,0,0,0,0,0,0
1698,0,0,0,0,0,1,0
1699,0,0,0,0,0,1,0
1700,7,1,7,0,0,4,0
1701,2,3,2,0,0,4,0
1702,1,0,1,0,0,3,0
1703,0,0,0,0,0,3,0
1704,2,0,2,0,0,5,0
1705,0,1,0,0,0,5,1
1706,9,0,8,1,1,8,0
1707,5,1,5,0,0,12,1
1708,0,0,0,0,0,1,0
1709,0,0,0,0,0,0,0
1710,2,1,2,0,0,2,0
1711,0,0,0,0,0,2,0
1712,0,0,0,0,0,0,0
1713,1,0,1,0,0,3,0
1714,0,1,0,0,0,5,0
1715,0,0,0,0,0,1,0
1716,0,0,0,0,0,0,0
1717,0,0,0,0,0,2,0
1718,0,0,0,0,0,0,0
1719,2,4,2,0,0,5,0
1720,0,1,0,0,0,0,0
1721,0,0,0,0,0,1,0
1722,9,8,9,0,0,2,0
1723,1,0,0,1,1,4,1
1724,0,0,0,0,0,0,0
1725,30,9,27,3,5,4,0
1726,9,4,9,0,0,6,0
1727,1,1,1,0,0,3,0
1728,0,0,0,0,0,3,0
1729,0,0,0,0,0,0,0
1730,0,0,0,0,0,4,0
1731,2,0,2,0,0,3,0
1732,0,0,0,0,0,0,0
1733,0,0,0,0,0,1,0
1734,0,4,0,0,0,3,2
1735,0,0,0,0,0,0,0
1736,0,0,0,0,0,0,0
1737,0,0,0,0,0,4,2
1738,3,0,3,0,0,2,0
1739,3,1,3,0,0,7,1
1740,9,1,6,3,3,2,0
1741,8,9,8,0,0,4,0
1742,0,0,0,0,0,0,1
1743,1,0,1,0,0,3,1
1744,1,1,0,1,2,8,1
1745,1,1,1,0,0,1,0
1746,4,3,4,0,0,6,0
1747,0,0,0,0,0,0,0
1748,0,0,0,0,0,0,0
1749,0,0,0,0,0,0,0
1750,0,1,0,0,0,3,0
1751,12,3,11,1,1,4,0
1752,2,0,2,0,0,2,0
1753,2,0,2,0,0,1,0
1754,1,0,1,0,0,0,0
1755,2,2,2,0,0,6,1
1756,2,2,2,0,0,4,0
1757,13,1,11,2,3,2,0
1758,0,3,0,0,0,1,0
1759,4,2,4,0,0,0,0
1760,1,2,1,0,0,4,0
1761,0,0,0,0,0,2,0
1762,1,1,1,0,0,1,0
1763,3,3,2,1,2,3,0
1764,2,0,2,0,0,3,1
1765,0,2,0,0,0,3,0
1766,13,10,12,1,1,2,0
1767,0,0,0,0,0,0,0
1768,0,0,0,0,0,1,0
