Unnamed: 0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Vs Dribbles,Vs Dribbles.1,Vs Dribbles.2,Vs Dribbles.3,Pressures,Pressures.1,Pressures.2,Pressures.3,Pressures.4,Pressures.5,Blocks,Blocks.1,Blocks.2,Blocks.3,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Rk,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
510,40,20,36,3,1,11,24,45.8,13,234,74,31.6,137,89,8,45,19,0,26,34,74,76,0
511,39,19,12,19,8,7,54,13,47,425,127,29.9,111,235,79,34,5,0,29,38,77,23,0
512,12,8,3,7,2,4,8,50,4,96,32,33.3,14,60,22,3,0,0,3,3,15,2,0
513,22,17,7,13,2,10,33,30.3,23,185,50,27,60,96,29,12,3,0,9,17,39,21,0
514,11,7,5,6,0,2,10,20,8,53,18,34,18,31,4,9,2,0,7,5,16,6,1
515,22,15,12,6,4,8,22,36.4,14,196,62,31.6,54,87,55,22,0,0,22,10,32,6,0
516,20,12,14,4,2,5,11,45.5,6,104,38,36.5,57,38,9,26,15,0,11,26,46,80,1
517,2,2,1,0,1,1,3,33.3,2,14,3,21.4,6,4,4,1,0,0,1,0,2,0,0
518,16,9,3,9,4,5,19,26.3,14,183,47,25.7,41,70,72,13,0,0,13,7,23,8,0
519,3,1,1,1,1,0,3,0,3,37,15,40.5,10,9,18,9,1,0,8,1,4,4,0
520,3,1,1,2,0,0,2,0,2,9,3,33.3,5,4,0,3,3,0,0,1,4,11,0
521,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
522,9,6,5,4,0,4,10,40,6,83,22,26.5,58,23,2,8,1,0,7,3,12,15,1
523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,25,17,9,14,2,12,34,35.3,22,168,53,31.5,62,85,21,16,1,0,15,10,35,8,1
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
526,0,0,0,0,0,0,0,0,0,4,2,50,1,3,0,2,0,0,2,1,1,0,0
527,0,0,0,0,0,0,1,0,1,6,2,33.3,3,3,0,1,0,0,1,1,1,1,0
528,27,14,18,7,2,3,10,30,7,156,49,31.4,102,42,12,45,20,0,25,26,53,134,3
529,36,25,16,14,6,18,49,36.7,31,362,97,26.8,84,164,114,16,2,0,14,13,49,11,0
