Unnamed: 0,Expected,Expected.1,Expected.2,Expected.3
Rk,xG,npxG,xA,npxG+xA
461,1.1,1.1,0.4,1.5
462,1.3,1.3,0.5,1.7
463,4.7,4.7,3.6,8.3
464,0.3,0.3,2.2,2.5
465,0,0,0,0
466,0,0,0,0
467,0.3,0.3,0.8,1.1
468,0.1,0.1,0.1,0.1
469,1.3,1.3,2,3.3
470,0,0,0,0
471,1.7,1.7,0.1,1.7
472,2,2,0.7,2.7
473,3.3,3.3,3,6.4
474,0.1,0.1,0.1,0.2
475,3.5,3.5,2.5,6
476,0.4,0.4,0.2,0.6
477,5.4,4.7,3.4,8
478,7.4,7.4,2.7,10.1
479,0.7,0.7,2.9,3.6
480,0.9,0.9,0.2,1.2
481,0,0,0,0
482,0.8,0.8,2.6,3.5
483,1.5,1.5,4.5,5.9
484,1.2,1.2,1.5,2.7
485,0.4,0.4,0,0.4
486,2.5,2.5,0.8,3.4
487,0.1,0.1,0.1,0.2
488,0.6,0.6,0.2,0.8
489,0,0,0,0
490,0.2,0.2,0.7,0.8
491,1.9,1.9,1.3,3.2
492,0.1,0.1,0,0.1
493,0.1,0.1,0.1,0.2
494,0,0,0.2,0.2
495,1.9,1.9,0.9,2.8
496,0.6,0.6,1.1,1.7
497,0.9,0.9,0.3,1.2
498,0.1,0.1,0,0.1
499,5.7,5,3.1,8
500,2.4,2.4,1,3.4
501,1.2,1.2,2.5,3.6
502,0.4,0.4,0.7,1.1
503,0,0,0.1,0.2
504,1,1,2.1,3.1
505,1.5,1.5,2.4,3.9
506,0.6,0.6,0,0.6
507,0.7,0.7,0.8,1.6
508,6,6,6.5,12.5
509,2.4,2.4,2.8,5.3
510,1.1,1.1,0.7,1.8
511,0.3,0.3,1.2,1.5
512,0.3,0.3,0.5,0.8
513,0.7,0.7,0.4,1.1
514,0.4,0.4,0,0.4
515,2,1.2,2,3.2
516,0.1,0.1,0.4,0.5
517,0.1,0.1,0,0.1
518,3.5,3.5,2.6,6.1
519,0.1,0.1,0.4,0.5
520,0,0,0,0
521,0,0,0,0
522,0.1,0.1,0,0.1
523,0,0,0,0
524,0.6,0.6,1.2,1.8
525,0,0,0,0
526,0,0,0.1,0.1
527,0,0,0,0
528,0.3,0.3,0.1,0.4
529,4,4,3.1,7
530,1.8,1.8,6,7.8
531,0.4,0.4,3.3,3.7
532,0.1,0.1,0.4,0.5
533,1.3,1.3,0.1,1.4
534,0.9,0.9,1.5,2.4
535,0.4,0.4,0.3,0.7
536,1.2,1.2,1.9,3.1
537,1.9,1.9,0.7,2.5
538,1.5,1.5,0,1.5
539,0,0,0,0
540,0.6,0.6,0,0.6
541,0,0,0,0
542,4.1,4.1,6.6,10.8
543,1.3,1.3,0.1,1.4
544,3.5,3.5,0.2,3.7
545,0,0,0,0
546,0,0,0.1,0.1
547,0.3,0.3,0.4,0.7
548,1.3,1.3,0,1.3
549,0.2,0.2,0.5,0.7
550,0,0,0.1,0.1
551,0.7,0.7,1.6,2.3
