Unnamed: 0,SCA,SCA.1,SCA Types,SCA Types.1,SCA Types.2,SCA Types.3,SCA Types.4,SCA Types.5,GCA,GCA.1,GCA Types,GCA Types.1,GCA Types.2,GCA Types.3,GCA Types.4,GCA Types.5
Rk,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
134,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0
135,1,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,24,1.19,19,1,1,0,3,0,1,0.05,1,0,0,0,0,0
137,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
138,13,1.54,9,0,2,1,1,0,1,0.12,0,0,0,1,0,0
139,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0
140,71,3.42,46,10,6,4,3,2,8,0.39,5,1,1,1,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,115,3.61,91,3,12,6,3,0,26,0.82,19,1,4,1,1,0
143,11,1.2,6,0,1,1,2,1,4,0.43,2,0,0,1,1,0
144,7,0.75,5,0,0,1,0,1,0,0,0,0,0,0,0,0
145,20,1.88,12,1,5,0,2,0,1,0.09,0,0,1,0,0,0
146,45,1.74,36,0,4,2,3,0,7,0.27,6,0,1,0,0,0
147,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0
148,49,1.37,44,2,2,1,0,0,4,0.11,4,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,63,2.9,32,26,0,3,1,1,6,0.28,2,4,0,0,0,0
151,34,1.91,23,0,4,3,1,3,4,0.22,3,0,1,0,0,0
152,1,0.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,3,1.34,2,0,0,1,0,0,0,0,0,0,0,0,0,0
154,33,2.19,24,0,3,2,3,1,6,0.4,3,0,1,0,2,0
155,4,0.72,4,0,0,0,0,0,0,0,0,0,0,0,0,0
156,33,1.42,23,0,2,2,5,1,7,0.3,5,0,0,1,1,0
157,3,0.34,3,0,0,0,0,0,0,0,0,0,0,0,0,0
158,49,1.3,38,2,3,2,3,1,4,0.11,4,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,42,1.73,40,1,0,0,0,1,4,0.16,4,0,0,0,0,0
161,7,2.13,5,1,0,0,0,1,1,0.3,1,0,0,0,0,0
162,13,1.49,9,0,3,1,0,0,2,0.23,1,0,1,0,0,0
163,19,0.66,16,0,2,1,0,0,0,0,0,0,0,0,0,0
164,53,1.98,46,1,0,0,3,3,6,0.22,5,0,0,0,1,0
165,2,0.07,2,0,0,0,0,0,0,0,0,0,0,0,0,0
166,3,1.97,3,0,0,0,0,0,0,0,0,0,0,0,0,0
167,14,2.32,8,2,0,2,1,1,0,0,0,0,0,0,0,0
168,26,1.45,16,0,4,2,2,2,5,0.28,4,0,1,0,0,0
169,98,4.12,56,15,10,7,9,1,14,0.59,7,4,1,1,0,1
170,3,0.29,3,0,0,0,0,0,1,0.1,1,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,35,1.6,28,0,1,2,3,1,2,0.09,1,0,0,0,1,0
173,33,1.75,32,1,0,0,0,0,3,0.16,2,1,0,0,0,0
174,85,2.86,69,1,4,3,5,3,16,0.54,14,0,1,0,0,1
175,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,5,8.04,2,0,0,1,2,0,1,1.61,0,0,0,1,0,0
177,2,0.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0
178,44,3.31,23,0,5,7,7,2,5,0.38,2,0,0,1,2,0
179,32,1.03,27,0,1,3,0,1,2,0.06,1,0,0,1,0,0
180,45,4.4,24,7,8,3,2,1,5,0.49,2,1,0,2,0,0
181,13,0.69,10,1,0,0,1,1,2,0.11,2,0,0,0,0,0
182,7,0.39,4,1,0,0,0,2,0,0,0,0,0,0,0,0
183,13,1.77,12,0,0,0,1,0,4,0.54,3,0,0,0,1,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,21,1.4,18,1,1,0,0,1,0,0,0,0,0,0,0,0
186,120,3.62,77,22,7,4,8,2,16,0.48,11,2,1,1,1,0
187,2,0.17,1,0,0,1,0,0,0,0,0,0,0,0,0,0
188,61,1.8,42,0,5,6,6,2,18,0.53,10,0,2,2,4,0
189,3,0.29,2,0,0,0,0,1,0,0,0,0,0,0,0,0
190,5,0.39,4,0,0,1,0,0,1,0.08,0,0,0,1,0,0
191,29,1.9,20,0,1,4,3,1,5,0.33,4,0,0,0,1,0
192,55,1.79,47,0,4,1,2,1,7,0.23,6,0,1,0,0,0
193,25,0.85,24,0,0,1,0,0,2,0.07,2,0,0,0,0,0
194,2,0.72,2,0,0,0,0,0,0,0,0,0,0,0,0,0
195,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,9,1.87,8,0,0,0,1,0,1,0.21,0,0,0,0,1,0
197,51,2.73,37,7,5,1,1,0,6,0.32,5,1,0,0,0,0
198,3,0.99,1,0,1,0,1,0,0,0,0,0,0,0,0,0
199,93,2.89,83,1,3,3,2,1,12,0.37,11,0,0,1,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,34,2.14,25,1,4,3,1,0,4,0.25,3,0,0,0,1,0
202,75,4.41,43,20,9,1,2,0,5,0.29,3,1,0,0,1,0
203,3,6.43,2,0,1,0,0,0,0,0,0,0,0,0,0,0
